# type=browses viewport=1280x720 sections=13 max_scroll=1200
t,dx,dy,scroll_y
1.644,0,0,0
1.648,3.1,0,0
1.665,10.2,0,0
1.68,29.6,1,0
1.688,41.9,2,0
1.704,58.2,2,0
1.72,103.2,2,0
1.738,116.5,2,0
1.753,141,3.1,0
1.77,155.3,4.1,0
1.786,167.5,7.1,0
1.803,177.7,9.2,0
1.819,183.9,11.2,0
1.837,191,13.3,0
1.853,194.1,14.3,0
1.87,196.1,15.3,0
2.14,196.5,15.7,1
2.143,196.5,15.7,1
2.157,196.6,15.7,7
2.171,196.6,15.8,11
2.191,196.6,15.8,25
2.205,196.6,15.8,32
2.221,196.6,15.8,29
2.241,196.7,15.9,32
2.258,196.7,15.9,27
2.272,196.7,15.9,17
2.288,196.7,15.9,15
2.307,196.8,16,10
2.321,196.8,16,7
2.338,196.8,16,5
2.355,196.8,16,3
2.371,196.9,16,2
2.377,196.9,16.1,6
2.394,196.9,16.1,7
2.41,196.9,16.1,7
2.426,196.9,16.1,7
2.444,197,16.1,7
2.461,197,16.2,6
2.477,197,16.2,8
2.494,197,16.2,7
2.51,197.1,16.2,6
2.576,197.2,16.3,0
2.588,198.2,18.4,0
2.591,199.2,19.4,0
2.603,200.2,20.4,0
2.62,203.3,24.5,0
2.636,206.4,28.6,0
2.654,210.4,32.7,0
2.669,212.5,35.7,0
2.687,214.5,37.8,0
2.704,216.6,40.9,0
2.72,218.6,43.9,0
2.736,220.7,47,0
2.753,222.7,50,0
2.769,225.8,55.1,0
2.786,226.8,57.2,0
2.803,227.8,58.2,0
2.82,228.8,59.2,0
2.836,229.8,60.3,0
2.853,229.8,60.3,0
3.01,229.8,60.3,0
3.016,229.8,61.3,0
3.028,230.9,61.3,0
3.038,230.9,61.3,0
3.054,230.9,63.3,0
3.072,231.9,64.3,0
3.088,232.9,65.4,0
3.103,233.9,65.4,0
3.121,235,66.4,0
3.138,235,66.4,0
3.155,235,67.4,0
3.169,236,68.4,0
3.186,236,68.4,0
3.203,236,69.4,0
3.22,237,69.4,0
3.236,237,70.5,0
3.253,238,71.5,0
3.27,238,71.5,0
3.288,239,72.5,0
3.303,241.1,72.5,0
3.321,243.1,73.5,0
3.339,246.2,73.5,0
3.353,252.3,73.5,0
3.369,257.4,73.5,0
3.386,261.5,73.5,0
3.402,266.6,73.5,0
3.42,270.7,71.5,0
3.437,274.8,69.4,0
3.454,277.9,68.4,0
3.471,280.9,66.4,0
3.488,283,65.4,0
3.503,284,65.4,0
3.52,284,64.3,0
3.536,285,64.3,0
3.553,285,64.3,0
3.607,285,64.3,0
3.631,285,64.3,0
3.639,286,64.3,0
3.656,286,64.3,0
3.671,286,64.3,0
3.688,288.1,63.3,0
3.703,290.1,63.3,0
3.72,296.2,61.3,0
3.737,299.3,61.3,0
3.753,303.4,59.2,0
3.77,308.5,58.2,0
3.786,312.6,56.2,0
3.803,315.7,55.1,0
3.82,317.7,53.1,0
3.838,319.7,52.1,0
3.853,320.8,52.1,0
3.871,321.8,52.1,0
3.887,321.8,51.1,0
4.123,321.3,51.2,1
4.125,321.3,51.2,1
4.146,321.3,51.2,4
4.162,321.3,51.2,6
4.172,321.3,51.2,10
4.189,321.2,51.3,15
4.205,321.2,51.3,14
4.222,321.2,51.3,16
4.239,321.1,51.3,14
4.256,321.1,51.3,12
4.272,321.1,51.3,9
4.289,321,51.3,8
4.306,321,51.3,4
4.323,321,51.3,3
4.339,320.9,51.3,2
4.36,320.9,51.4,1
4.372,320.9,51.4,1
4.389,320.9,51.4,0
4.425,320.8,51.4,1
4.441,320.8,51.4,1
4.456,320.7,51.4,1
4.472,320.7,51.4,1
4.489,320.7,51.4,2
4.506,320.6,51.4,2
4.522,320.6,51.5,3
4.539,320.6,51.5,4
4.555,320.5,51.5,5
4.573,320.5,51.5,5
4.589,320.5,51.5,5
4.605,320.5,51.5,4
4.623,320.4,51.5,3
4.64,320.4,51.5,3
4.656,320.4,51.5,2
4.672,320.3,51.6,1
4.689,320.3,51.6,1
4.989,319.7,51.7,1
5.009,319.7,51.8,4
5.021,319.7,51.8,5
5.041,319.6,51.8,7
5.063,319.6,51.8,13
5.071,319.6,51.8,14
5.089,319.5,51.8,17
5.106,319.5,51.8,16
5.122,319.5,51.8,17
5.138,319.5,51.8,14
5.155,319.4,51.9,9
5.172,319.4,51.9,7
5.189,319.4,51.9,5
5.206,319.3,51.9,2
5.222,319.3,51.9,1
5.239,319.3,51.9,1
5.255,319.2,51.9,1
5.533,318.7,52.1,0
5.541,309.5,56.2,0
5.557,299.3,60.3,0
5.57,285,68.4,0
5.593,273.8,74.6,0
5.603,264.6,79.7,0
5.621,260.5,81.7,0
5.638,258.5,82.7,0
5.654,257.4,83.7,0
5.671,257.4,83.7,0
5.688,256.4,83.7,0
5.972,256.4,83.7,1
5.99,256.4,83.7,2
6.013,256.4,83.7,4
6.021,256.4,83.7,6
6.04,256.4,83.7,8
6.055,256.4,83.7,12
6.072,256.4,83.7,13
6.089,256.4,83.7,12
6.105,256.4,83.7,9
6.121,256.4,83.7,8
6.138,256.4,83.7,6
6.155,256.4,83.7,4
6.172,256.4,83.7,3
6.188,256.4,83.7,1
6.205,256.4,83.7,1
6.222,256.4,83.7,1
6.305,256.4,83.7,1
6.324,256.4,83.7,1
6.346,256.4,83.7,1
6.354,256.4,83.7,1
6.373,256.4,83.7,2
6.388,256.4,83.7,3
6.405,256.4,83.7,4
6.422,256.4,83.7,4
6.439,256.4,83.7,4
6.455,256.4,83.7,4
6.472,256.4,83.7,4
6.489,256.4,83.7,3
6.504,256.4,83.7,3
6.521,256.4,83.7,3
6.538,256.4,83.7,2
6.555,256.4,83.7,2
6.572,256.4,83.7,1
6.588,256.4,83.7,1
6.873,256.4,83.7,1
