# type=browses viewport=1280x720 sections=9 max_scroll=640
t,dx,dy,scroll_y
0.402,0,0,0
0.404,0,-2,0
0.438,0,-9.2,0
0.44,0,-12.3,0
0.448,0,-16.3,0
0.463,0,-24.5,0
0.48,-1,-33.7,0
0.497,-1,-41.9,0
0.513,-2,-48,0
0.53,-4.1,-58.2,0
0.547,-6.1,-63.3,0
0.563,-7.2,-66.4,0
0.581,-7.2,-68.4,0
0.597,-7.2,-68.4,0
0.614,-7.2,-69.4,0
0.756,-7.2,-69.4,0
0.767,-6.1,-69.4,0
0.782,-4.1,-69.4,0
0.803,-3.1,-69.4,0
0.813,0,-69.4,0
0.83,2,-69.4,0
0.848,3.1,-69.4,0
0.863,4.1,-69.4,0
0.882,4.1,-69.4,0
0.899,5.1,-69.4,0
1.052,5.1,-69.4,0
1.059,6.1,-69.4,0
1.067,7.2,-69.4,0
1.088,9.2,-69.4,0
1.1,18.4,-69.4,0
1.114,34.7,-69.4,0
1.133,59.2,-69.4,0
1.146,88.9,-69.4,0
1.165,127.7,-67.4,0
1.181,162.4,-60.3,0
1.198,196.1,-54.1,0
1.214,209.4,-52.1,0
1.507,209.4,-52.1,0
1.518,206.4,-52.1,0
1.533,202.3,-52.1,0
1.55,193.1,-48,0
1.571,176.7,-39.8,0
1.582,153.2,-26.6,0
1.598,119.5,-5.1,0
1.613,108.3,3.1,0
1.629,100.1,9.2,0
1.647,91.9,15.3,0
1.664,86.8,19.4,0
1.681,84.8,21.4,0
1.698,83.8,22.5,0
1.715,83.8,22.5,0
1.732,83.8,23.5,0
1.749,83.8,23.5,0
1.764,85.8,23.5,0
1.782,90.9,24.5,0
1.797,97,25.5,0
1.813,105.2,26.6,0
1.829,114.4,29.6,0
1.849,125.7,32.7,0
1.864,146.1,36.8,0
1.882,178.8,39.8,0
1.898,216.6,39.8,0
1.914,264.6,39.8,0
1.93,298.3,39.8,0
1.946,337.1,39.8,0
1.967,371.8,43.9,0
1.98,389.2,48,0
