# type=browses viewport=1280x720 sections=22 max_scroll=2460
t,dx,dy,scroll_y
0.036,0,0,0
0.043,1,0,0
0.056,1,0,0
0.075,3.1,0,0
0.092,5.1,1,0
0.109,7.2,1,0
0.125,10.2,2,0
0.142,12.3,4.1,0
0.157,14.3,5.1,0
0.173,16.3,6.1,0
0.19,18.4,7.1,0
0.206,19.4,7.1,0
0.223,21.5,8.2,0
0.24,22.5,9.2,0
0.256,23.5,9.2,0
0.273,23.5,10.2,0
0.29,24.5,10.2,0
0.308,24.5,10.2,0
0.323,24.5,10.2,0
0.443,24.5,10.2,0
0.451,25.5,10.2,0
0.461,25.5,10.2,0
0.479,26.6,11.2,0
0.499,26.6,11.2,0
0.562,27.6,12.3,0
0.574,29.6,12.3,0
0.589,33.7,13.3,0
0.606,36.8,14.3,0
0.623,40.9,15.3,0
0.639,44.9,16.3,0
0.658,48,17.4,0
0.675,51.1,17.4,0
0.692,55.2,17.4,0
1.024,55.2,17.4,1
1.041,55.2,17.4,4
1.066,55.2,17.4,8
1.074,55.2,17.4,9
1.091,55.2,17.4,15
1.108,55.2,17.4,13
1.124,55.2,17.4,10
1.14,55.2,17.4,9
1.157,55.2,17.4,6
1.174,55.2,17.4,2
1.19,55.2,17.4,2
1.207,55.2,17.4,1
1.224,55.2,17.4,1
1.275,55.2,17.4,0
1.293,55.2,17.4,0
1.309,55.2,17.4,0
1.576,55.2,17.4,1
1.578,55.2,17.4,1
1.594,55.2,17.4,5
1.616,55.2,17.4,6
1.626,55.2,17.4,8
1.642,55.2,17.4,11
1.659,55.2,17.4,10
1.675,55.2,17.4,10
1.694,55.2,17.4,10
1.709,55.2,17.4,9
1.725,55.2,17.4,8
1.742,55.2,17.4,8
1.759,55.2,17.4,9
1.776,55.2,17.4,10
1.792,55.2,17.4,11
1.808,55.2,17.4,11
1.826,55.2,17.4,9
1.843,55.2,17.4,7
1.859,55.2,17.4,5
1.876,55.2,17.4,3
1.893,55.2,17.4,2
1.91,55.2,17.4,1
1.926,55.2,17.4,1
2.017,55.2,17.4,0
2.025,55.2,18.4,0
2.042,55.2,19.4,0
2.058,56.2,21.4,0
2.082,58.2,23.5,0
2.091,60.3,26.6,0
2.108,61.3,27.6,0
2.123,62.3,28.6,0
2.14,63.3,29.6,0
2.377,63.3,29.6,0
2.385,63.3,29.6,0
2.399,64.4,30.6,0
2.408,65.4,30.6,0
2.424,65.4,31.7,0
2.439,66.4,31.7,0
2.458,66.4,31.7,0
2.474,67.4,31.7,0
2.528,67.4,31.7,0
2.541,67.4,31.7,0
2.544,67.4,32.7,0
2.558,67.4,32.7,0
2.574,68.4,32.7,0
2.809,68.4,32.7,1
2.832,68.4,32.7,4
2.841,68.4,32.7,5
2.865,68.4,32.7,8
2.876,68.4,32.7,8
2.892,68.4,32.7,9
2.909,68.4,32.7,7
2.925,68.4,32.7,6
2.941,68.4,32.7,4
2.958,68.4,32.7,2
2.975,68.4,32.7,1
2.993,68.4,32.7,1
3.075,68.4,32.7,1
3.094,68.4,32.7,1
3.126,68.4,32.7,1
3.148,68.4,32.7,1
3.157,68.4,32.7,1
3.176,68.4,32.7,3
