# type=browses viewport=1280x720 sections=18 max_scroll=1900
t,dx,dy,scroll_y
0.585,0,0,0
0.592,-1,0,0
0.601,-2,0,0
0.619,-4.1,0,0
0.643,-6.1,-2,0
0.651,-12.3,-2,0
0.668,-17.4,-3.1,0
0.683,-22.5,-4.1,0
0.7,-27.6,-6.1,0
0.716,-31.7,-11.2,0
0.734,-36.8,-18.4,0
0.75,-40.9,-29.6,0
0.768,-43.9,-44.9,0
0.783,-47,-60.3,0
0.801,-49,-75.6,0
0.816,-51.1,-87.8,0
0.834,-51.1,-91.9,0
0.851,-52.1,-96,0
1.168,-52.1,-96,1
1.187,-52.1,-96,7
1.209,-52.1,-96,10
1.219,-52.1,-96,14
1.237,-52.1,-96,14
1.252,-52.1,-96,15
1.268,-52.1,-96,13
1.285,-52.1,-96,12
1.301,-52.1,-96,9
1.318,-52.1,-96,7
1.334,-52.1,-96,5
1.352,-52.1,-96,3
1.368,-52.1,-96,2
1.385,-52.1,-96,1
1.402,-52.1,-96,1
1.583,-52.1,-96,0
1.585,-56.2,-96,0
1.602,-66.4,-97,0
1.616,-133.8,-104.2,0
1.638,-168.6,-108.3,0
1.651,-238,-113.4,0
1.666,-312.6,-115.4,0
1.684,-362.6,-115.4,0
1.701,-399.4,-108.3,0
1.717,-417.8,-104.2,0
1.734,-431.1,-100.1,0
1.751,-441.3,-97,0
1.768,-445.4,-95,0
1.784,-446.4,-94,0
2.002,-446.4,-94,0
2.007,-447.4,-96,0
2.021,-450.5,-100.1,0
2.033,-458.7,-108.3,0
2.051,-477.1,-126.6,0
2.074,-498.5,-148.1,0
2.085,-515.9,-163.4,0
2.099,-534.3,-178.7,0
2.116,-544.5,-191,0
2.133,-549.6,-197.1,0
2.15,-552.7,-202.2,0
2.166,-552.7,-210.4,0
2.184,-552.7,-212.4,0
2.201,-548.6,-216.5,0
2.218,-545.5,-218.6,0
2.232,-543.5,-221.6,0
2.25,-542.4,-221.6,0
2.485,-542.4,-221.6,-1
2.502,-542.4,-221.6,-1
2.52,-542.4,-221.6,-4
2.543,-542.4,-221.6,-6
2.552,-542.4,-221.6,-11
2.569,-542.4,-221.6,-11
2.586,-542.4,-221.6,-14
2.602,-542.4,-221.6,-14
2.619,-542.4,-221.6,-13
2.635,-542.4,-221.6,-11
2.652,-542.4,-221.6,-10
2.668,-542.4,-221.6,-6
2.686,-542.4,-221.6,-6
2.702,-542.4,-221.6,-4
2.718,-542.4,-221.6,-3
2.735,-542.4,-221.6,-3
2.752,-542.4,-221.6,-4
2.768,-542.4,-221.6,-5
2.786,-542.4,-221.6,-5
2.803,-542.4,-221.6,-6
2.819,-542.4,-221.6,-4
2.835,-542.4,-221.6,-5
2.852,-542.4,-221.6,-4
2.856,-542.4,-221.6,-5
2.871,-542.4,-221.6,-5
2.888,-542.4,-221.6,-5
2.905,-542.4,-221.6,-5
2.921,-542.4,-221.6,-5
2.938,-542.4,-221.6,-5
2.955,-542.4,-221.6,-5
2.971,-542.4,-221.6,-5
2.988,-542.4,-221.6,-4
3.004,-542.4,-221.6,-4
3.021,-542.4,-221.6,-4
3.038,-542.4,-221.6,-3
3.055,-542.4,-221.6,-3
3.071,-542.4,-221.6,-3
3.088,-542.4,-221.6,-2
3.105,-542.4,-221.6,-2
3.121,-542.4,-221.6,-2
3.138,-542.4,-221.6,-2
3.155,-542.4,-221.6,-2
3.172,-542.4,-221.6,-1
3.188,-542.4,-221.6,-1
3.205,-542.4,-221.6,-1
3.221,-542.4,-221.6,-1
3.238,-542.4,-221.6,-1
3.303,-542.4,-221.6,1
3.319,-542.4,-221.6,3
3.334,-542.4,-221.6,7
3.352,-542.4,-221.6,7
3.369,-542.4,-221.6,8
3.386,-542.4,-221.6,15
3.401,-542.4,-221.6,21
3.418,-542.4,-221.6,22
3.435,-542.4,-221.6,26
3.452,-542.4,-221.6,23
3.468,-542.4,-221.6,20
3.484,-542.4,-221.6,14
3.5,-542.4,-221.6,9
3.518,-542.4,-221.6,7
3.536,-542.4,-221.6,4
3.551,-542.4,-221.6,2
3.567,-542.4,-221.6,1
3.584,-542.4,-221.6,1
3.6,-542.4,-221.6,1
3.868,-542.4,-221.6,1
3.886,-542.4,-221.6,2
3.901,-542.4,-221.6,4
3.929,-542.4,-221.6,4
3.935,-542.4,-221.6,4
3.957,-542.4,-221.6,6
3.967,-542.4,-221.6,8
3.984,-542.4,-221.6,8
4.001,-542.4,-221.6,9
4.017,-542.4,-221.6,8
4.034,-542.4,-221.6,6
4.051,-542.4,-221.6,5
4.068,-542.4,-221.6,4
4.085,-542.4,-221.6,4
4.1,-542.4,-221.6,3
4.117,-542.4,-221.6,2
4.134,-542.4,-221.6,2
4.152,-542.4,-221.6,1
4.169,-542.4,-221.6,1
4.186,-542.4,-221.6,1
4.268,-542.4,-221.6,1
4.287,-542.4,-221.6,1
4.319,-542.4,-221.6,1
4.343,-542.4,-221.6,2
4.352,-542.4,-221.6,2
4.368,-542.4,-221.6,2
4.385,-542.4,-221.6,2
4.4,-542.4,-221.6,2
4.417,-542.4,-221.6,2
4.434,-542.4,-221.6,2
4.45,-542.4,-221.6,2
4.467,-542.4,-221.6,2
4.484,-542.4,-221.6,2
4.5,-542.4,-221.6,1
4.517,-542.4,-221.6,1
4.567,-542.4,-221.6,0
4.784,-542.4,-221.6,1
4.803,-542.4,-221.6,2
4.822,-542.4,-221.6,6
4.834,-542.4,-221.6,9
4.85,-542.4,-221.6,17
4.867,-542.4,-221.6,22
4.883,-542.4,-221.6,22
