# type=browses viewport=1280x720 sections=24 max_scroll=2740
t,dx,dy,scroll_y
0.679,0,0,0
0.701,-6.1,0,0
0.704,-9.2,0,0
0.726,-13.3,0,0
0.737,-25.5,2,0
0.754,-35.8,5.1,0
0.77,-40.9,7.1,0
0.787,-46,9.2,0
0.805,-48,10.2,0
0.82,-49,10.2,0
0.836,-50.1,11.2,0
0.854,-50.1,11.2,0
0.983,-50.1,12.3,0
0.99,-49,12.3,0
1.007,-48,14.3,0
1.024,-41.9,17.4,0
1.044,-27.6,23.5,0
1.054,-6.1,28.6,0
1.07,36.8,36.8,0
1.087,53.1,38.8,0
1.104,98.1,46,0
1.12,117.5,51.1,0
1.137,135.9,57.2,0
1.153,145.1,60.3,0
1.172,152.2,63.3,0
1.188,156.3,65.4,0
1.205,157.3,65.4,0
1.49,157.3,65.4,1
1.492,157.3,65.4,1
1.508,157.3,65.4,6
1.53,157.3,65.4,9
1.54,157.3,65.4,15
1.556,157.3,65.4,35
1.573,157.3,65.4,39
1.589,157.3,65.4,45
1.607,157.3,65.4,33
1.624,157.3,65.4,37
1.64,157.3,65.4,30
1.657,157.3,65.4,22
1.673,157.3,65.4,17
1.689,157.3,65.4,11
1.706,157.3,65.4,8
1.724,157.3,65.4,5
1.74,157.3,65.4,3
1.757,157.3,65.4,10
1.773,157.3,65.4,11
1.789,157.3,65.4,12
1.806,157.3,65.4,12
1.822,157.3,65.4,11
1.84,157.3,65.4,11
1.856,157.3,65.4,12
1.873,157.3,65.4,12
1.888,157.3,65.4,11
1.917,157.3,65.4,0
1.924,162.4,67.4,0
1.939,167.5,70.5,0
1.956,178.8,76.6,0
1.973,196.1,83.7,0
1.99,229.8,96,0
2.004,278.9,114.4,0
2.021,315.7,130.7,0
2.037,359.6,153.2,0
2.054,399.4,175.7,0
2.071,410.7,183.8,0
2.087,421.9,192,0
2.103,430.1,198.1,0
2.473,430.1,197,1
2.491,430.1,197,5
2.513,430.1,196.9,9
2.522,430.1,196.9,13
2.54,430.1,196.8,30
2.556,430.1,196.8,39
2.573,430.1,196.7,45
2.589,430.1,196.7,33
2.606,430.1,196.6,35
2.623,430.1,196.6,26
2.639,430.1,196.5,17
2.655,430.1,196.5,10
2.672,430.1,196.4,7
2.689,430.1,196.4,3
2.707,430.1,196.3,2
2.722,430.1,196.3,1
2.739,430.1,196.2,0
2.756,430.1,196.2,1
2.772,430.1,196.1,1
2.805,430.1,196,0
2.823,430.1,196,0
2.839,430.1,195.9,0
3.006,430.1,195.4,-1
3.007,430.1,195.4,-1
3.028,430.1,195.4,-4
3.047,430.1,195.3,-5
3.057,430.1,195.3,-7
3.072,430.1,195.2,-13
3.091,430.1,195.2,-17
3.107,430.1,195.1,-19
3.123,430.1,195.1,-21
3.14,430.1,195,-22
3.155,430.1,195,-21
3.171,430.1,195,-22
3.188,430.1,194.9,-18
3.205,430.1,194.8,-12
3.222,430.1,194.8,-11
3.238,430.1,194.8,-7
3.255,430.1,194.7,-6
3.273,430.1,194.6,-4
3.291,430.1,194.6,-4
3.306,430.1,194.5,-3
3.323,430.1,194.5,-3
3.34,430.1,194.4,-2
3.357,430.1,194.4,-1
3.373,430.1,194.3,-1
3.389,430.1,194.3,-1
3.422,430.1,194.2,0
3.49,430.1,194,2
3.508,430.1,193.9,3
3.522,430.1,193.9,10
3.54,430.1,193.9,21
3.564,430.1,193.8,38
3.571,430.1,193.8,56
3.589,430.1,193.7,65
3.606,430.1,193.7,73
3.622,430.1,193.6,66
3.64,430.1,193.6,53
3.656,430.1,193.5,40
3.672,430.1,193.5,23
3.689,430.1,193.4,14
3.706,430.1,193.4,9
3.722,430.1,193.3,5
3.739,430.1,193.3,2
3.756,430.1,193.2,1
3.823,430.1,193,0
4.039,430.1,192.4,-1
4.064,430.1,192.3,-6
4.073,430.1,192.3,-18
4.091,430.1,192.2,-32
4.107,430.1,192.2,-42
4.123,430.1,192.1,-46
4.14,430.1,192.1,-44
4.157,430.1,192,-42
4.173,430.1,192,-43
4.19,430.1,191.9,-30
4.206,430.1,191.9,-25
4.223,430.1,191.8,-16
4.24,430.1,191.8,-9
4.257,430.1,191.7,-5
4.273,430.1,191.7,-2
4.29,430.1,191.6,-1
4.306,430.1,191.6,1
4.322,430.1,191.5,1
4.339,430.1,191.5,1
4.356,430.1,191.4,1
4.506,430.1,191,0
4.513,428,182.8,0
4.522,425,174.6,0
4.538,420.9,165.4,0
4.561,405.6,145,0
4.57,380,124.6,0
4.588,295.2,77.6,0
4.604,200.2,55.1,0
4.62,73.6,49,0
4.638,-13.3,49,0
4.654,-60.3,52.1,0
4.67,-91.9,57.2,0
4.687,-120.5,63.3,0
4.704,-129.7,66.4,0
4.72,-138.9,68.4,0
4.737,-142,70.5,0
4.753,-142,71.5,0
4.771,-142,72.5,0
4.787,-142,73.5,0
4.993,-143,73.5,0
5.007,-145.1,72.5,0
5.027,-152.2,70.5,0
5.037,-162.4,69.4,0
5.053,-182.9,69.4,0
5.07,-222.7,69.4,0
5.087,-250.3,75.6,0
5.105,-281.9,86.8,0
5.12,-309.5,96,0
5.139,-312.6,97,0
5.155,-321.8,101.1,0
5.171,-326.9,103.1,0
5.473,-326.9,103.1,1
5.491,-326.9,103.1,3
5.515,-326.9,103.1,3
5.522,-326.9,103.1,7
5.541,-326.9,103.1,10
5.557,-326.9,103.1,12
5.573,-326.9,103.1,15
5.589,-326.9,103.1,16
5.606,-326.9,103.1,14
5.622,-326.9,103.1,11
5.639,-326.9,103.1,11
5.656,-326.9,103.1,9
5.672,-326.9,103.1,8
5.689,-326.9,103.1,7
5.706,-326.9,103.1,5
5.723,-326.9,103.1,5
5.739,-326.9,103.1,3
5.755,-326.9,103.1,2
5.772,-326.9,103.1,1
5.788,-326.9,103.1,1
5.806,-326.9,103.1,1
5.855,-326.9,103.1,1
5.874,-326.9,103.1,1
5.89,-326.9,103.1,1
5.906,-326.9,103.1,3
5.923,-326.9,103.1,7
5.939,-326.9,103.1,13
5.956,-326.9,103.1,17
5.973,-326.9,103.1,16
5.989,-326.9,103.1,17
6.006,-326.9,103.1,11
6.024,-326.9,103.1,8
6.038,-326.9,103.1,6
6.055,-326.9,103.1,4
6.072,-326.9,103.1,2
6.089,-326.9,103.1,1
6.106,-326.9,103.1,1
6.473,-326.9,103.1,1
6.492,-326.9,103.1,4
6.508,-326.9,103.1,5
6.529,-326.9,103.1,7
6.539,-326.9,103.1,10
6.556,-326.9,103.1,11
6.573,-326.9,103.1,11
6.589,-326.9,103.1,10
6.606,-326.9,103.1,9
6.623,-326.9,103.1,7
6.64,-326.9,103.1,6
6.656,-326.9,103.1,5
6.674,-326.9,103.1,3
6.689,-326.9,103.1,2
6.706,-326.9,103.1,1
6.723,-326.9,103.1,1
6.772,-326.9,103.1,1
7.139,-326.9,103.1,1
7.166,-326.9,103.1,2
7.172,-326.9,103.1,3
7.192,-326.9,103.1,5
7.205,-326.9,103.1,4
7.225,-326.9,103.1,4
7.238,-326.9,103.1,3
7.255,-326.9,103.1,2
7.271,-326.9,103.1,1
7.623,-326.9,103.1,1
7.641,-326.9,103.1,1
7.661,-326.9,103.1,1
7.673,-326.9,103.1,1
7.689,-326.9,103.1,2
7.706,-326.9,103.1,2
7.723,-326.9,103.1,2
7.74,-326.9,103.1,2
7.755,-326.9,103.1,2
7.771,-326.9,103.1,2
7.788,-326.9,103.1,2
7.806,-326.9,103.1,2
7.822,-326.9,103.1,2
7.839,-326.9,103.1,2
7.855,-326.9,103.1,2
7.871,-326.9,103.1,2
7.888,-326.9,103.1,1
7.905,-326.9,103.1,1
7.921,-326.9,103.1,1
7.938,-326.9,103.1,2
7.955,-326.9,103.1,2
7.971,-326.9,103.1,1
7.989,-326.9,103.1,1
