# type=browses viewport=1280x720 sections=15 max_scroll=1480
t,dx,dy,scroll_y
0.594,0,0,1
0.609,0,0,2
0.636,0,0,4
0.643,0,0,4
0.66,0,0,5
0.677,0,0,5
0.694,0,0,4
0.71,0,0,4
0.727,0,0,4
0.744,0,0,3
0.761,0,0,2
0.778,0,0,1
0.794,0,0,1
0.811,0,0,1
0.828,0,0,2
0.845,0,0,2
0.861,0,0,3
0.876,0,0,3
0.893,0,0,3
0.909,0,0,3
0.926,0,0,3
0.943,0,0,2
0.964,0,0,1
0.976,0,0,1
0.995,0,0,1
1.011,0,0,1
1.028,0,0,1
1.044,0,0,1
1.061,0,0,1
1.078,0,0,1
1.137,0,0,0
1.146,1,0,0
1.161,1,1,0
1.177,2,1,0
1.193,3.1,2,0
1.209,5.1,3.1,0
1.225,6.1,5.1,0
1.242,8.2,6.1,0
1.257,9.2,7.1,0
1.274,9.2,7.1,0
1.291,10.2,7.1,0
1.307,10.2,8.2,0
1.662,10.2,8.2,2
1.677,10.2,8.2,2
1.701,10.2,8.2,4
1.709,10.2,8.2,6
1.727,10.2,8.2,9
1.742,10.2,8.2,8
1.761,10.2,8.2,7
1.777,10.2,8.2,5
1.793,10.2,8.2,4
1.81,10.2,8.2,3
1.826,10.2,8.2,2
1.843,10.2,8.2,1
1.86,10.2,8.2,1
1.876,10.2,8.2,1
1.893,10.2,8.2,1
1.91,10.2,8.2,1
1.927,10.2,8.2,1
1.943,10.2,8.2,1
1.96,10.2,8.2,1
1.978,10.2,8.2,2
1.994,10.2,8.2,2
2.011,10.2,8.2,2
2.027,10.2,8.2,2
2.043,10.2,8.2,2
2.06,10.2,8.2,2
2.076,10.2,8.2,2
2.093,10.2,8.2,1
2.111,10.2,8.2,1
2.127,10.2,8.2,1
2.144,10.2,8.2,1
2.16,10.2,8.2,1
2.176,10.2,8.2,1
2.193,10.2,8.2,1
2.21,10.2,8.2,1
2.227,10.2,8.2,1
2.246,10.2,8.2,1
2.26,10.2,8.2,2
2.276,10.2,8.2,2
2.293,10.2,8.2,2
2.31,10.2,8.2,2
2.326,10.2,8.2,3
2.343,10.2,8.2,3
2.36,10.2,8.2,3
2.376,10.2,8.2,3
2.393,10.2,8.2,3
2.41,10.2,8.2,2
2.459,10.2,8.2,1
2.479,10.2,8.2,1
2.495,10.2,8.2,1
2.511,10.2,8.2,1
2.526,10.2,8.2,1
2.544,10.2,8.2,1
2.843,10.2,8.2,1
2.863,10.2,8.2,4
2.892,10.2,8.2,6
2.912,10.2,8.2,18
2.927,10.2,8.2,14
2.944,10.2,8.2,15
2.96,10.2,8.2,11
2.977,10.2,8.2,11
