# type=drags viewport=1280x720 start=138,347 end=1178,360
t,rx,ry
0,0,0
0.016,-0.002,0
0.035,-0.0029,0
0.05,-0.0049,0
0.066,-0.0059,0
0.083,-0.0088,0.001
0.099,-0.0108,0.002
0.117,-0.0128,0.002
0.134,-0.0147,0.0029
0.15,-0.0147,0.0029
0.168,-0.0157,0.0039
0.184,-0.0167,0.0039
0.2,-0.0197,0.0049
0.216,-0.0216,0.0059
0.233,-0.0236,0.0069
0.249,-0.0246,0.0069
0.266,-0.0246,0.0079
0.282,-0.0255,0.0079
0.317,-0.0255,0.0079
0.325,-0.0255,0.0079
0.334,-0.0265,0.0079
0.35,-0.0265,0.0088
0.368,-0.0275,0.0088
0.383,-0.0275,0.0088
0.4,-0.0275,0.0098
0.629,-0.0275,0.0108
0.636,-0.0285,0.0118
0.651,-0.0305,0.0147
0.666,-0.0324,0.0187
0.685,-0.0354,0.0236
0.7,-0.0383,0.0265
0.716,-0.0403,0.0285
0.734,-0.0403,0.0295
0.751,-0.0413,0.0295
0.829,-0.0413,0.0295
0.871,-0.0403,0.0295
0.876,-0.0403,0.0295
0.884,-0.0393,0.0295
0.9,-0.0383,0.0285
0.917,-0.0334,0.0275
0.933,-0.0226,0.0246
0.95,-0.0118,0.0226
0.967,0.002,0.0206
0.984,0.0226,0.0177
0.999,0.0344,0.0147
1.016,0.0442,0.0128
1.033,0.0531,0.0118
1.049,0.0599,0.0098
1.067,0.0668,0.0088
1.085,0.0707,0.0088
1.1,0.0747,0.0079
1.341,0.0747,0.0079
1.353,0.0776,0.0079
1.367,0.0825,0.0079
1.384,0.1022,0.0079
1.4,0.1307,0.0079
1.417,0.1611,0.0098
1.434,0.1808,0.0128
1.45,0.2014,0.0147
1.467,0.2191,0.0167
1.484,0.2329,0.0167
1.5,0.2486,0.0147
1.517,0.2535,0.0147
1.533,0.2653,0.0118
1.551,0.2663,0.0108
1.566,0.2781,0.0108
1.582,0.283,0.0108
1.6,0.2859,0.0108
1.616,0.2889,0.0108
1.87,0.2899,0.0108
1.875,0.2948,0.0108
1.885,0.3016,0.0108
1.9,0.3085,0.0108
1.917,0.3262,0.0098
1.934,0.3645,0.0088
1.951,0.4009,0.0088
1.966,0.4539,0.0088
1.983,0.4864,0.0088
2,0.5168,0.0088
2.017,0.5443,0.0069
2.033,0.5679,0.0069
2.05,0.5817,0.0059
2.066,0.5984,0.0049
2.084,0.6102,0.0029
2.101,0.621,0.002
2.116,0.6308,0
2.133,0.6367,-0.002
2.15,0.6377,-0.002
2.404,0.6396,-0.0029
2.411,0.6436,-0.0039
2.419,0.6485,-0.0049
2.433,0.6544,-0.0059
2.451,0.674,-0.0069
2.466,0.7025,-0.0069
2.483,0.732,-0.0039
2.501,0.7605,0.002
2.517,0.7792,0.0039
2.535,0.8057,0.0079
2.55,0.8185,0.0088
2.566,0.8244,0.0088
2.584,0.8322,0.0098
2.6,0.8371,0.0108
2.616,0.842,0.0118
2.633,0.846,0.0118
2.651,0.8519,0.0128
2.666,0.8558,0.0138
2.685,0.8597,0.0147
2.7,0.8637,0.0147
2.719,0.8676,0.0147
2.734,0.8715,0.0147
2.75,0.8784,0.0138
2.766,0.8804,0.0118
2.784,0.8843,0.0098
2.8,0.8872,0.0088
2.817,0.8912,0.0069
2.835,0.8941,0.0069
2.85,0.899,0.0059
2.867,0.902,0.0059
2.884,0.9079,0.0059
2.9,0.9148,0.0059
2.917,0.9157,0.0069
2.934,0.9197,0.0088
2.949,0.9246,0.0108
2.966,0.9265,0.0118
2.983,0.9295,0.0128
2.999,0.9324,0.0128
3.016,0.9354,0.0128
3.033,0.9374,0.0108
3.05,0.9432,0.0069
3.067,0.9472,0.0049
3.083,0.9521,0.0029
3.101,0.96,0.002
3.117,0.9629,0.002
3.135,0.9678,0.002
3.15,0.9767,0.002
3.166,0.9816,0.002
3.183,0.9875,0.0039
3.2,0.9904,0.0049
3.216,0.9924,0.0059
3.232,0.9943,0.0059
3.249,0.9953,0.0069
3.266,0.9963,0.0069
3.285,0.9963,0.0069
3.301,0.9963,0.0079
3.318,0.9973,0.0079
3.334,0.9973,0.0088
3.35,0.9973,0.0088
3.368,0.9973,0.0098
3.394,0.9973,0.0098
3.419,0.9973,0.0098
3.426,0.9973,0.0098
3.442,0.9983,0.0098
3.451,0.9983,0.0098
3.467,0.9983,0.0098
3.484,0.9993,0.0098
3.502,1.0002,0.0098
3.517,1.0012,0.0098
3.533,1.0032,0.0098
3.55,1.0042,0.0098
3.566,1.0042,0.0098
3.583,1.0051,0.0098
3.6,1.0061,0.0098
3.617,1.0061,0.0098
3.633,1.0071,0.0098
