# type=drags viewport=1280x720 start=117,328 end=1178,360
t,rx,ry
0,0,0
0.018,-0.0029,0.0058
0.033,-0.0058,0.0096
0.05,-0.0087,0.0125
0.067,-0.0154,0.0164
0.083,-0.0164,0.0164
0.101,-0.0212,0.0183
0.118,-0.0222,0.0183
0.133,-0.0241,0.0202
0.15,-0.0251,0.0212
0.166,-0.026,0.0231
0.184,-0.027,0.0241
0.2,-0.027,0.0241
0.218,-0.027,0.025
0.234,-0.027,0.025
0.251,-0.027,0.025
0.271,-0.027,0.025
0.286,-0.027,0.026
0.302,-0.027,0.026
0.317,-0.027,0.026
0.334,-0.027,0.027
0.619,-0.026,0.027
0.626,-0.0251,0.027
0.635,-0.0241,0.027
0.652,-0.0231,0.0279
0.667,-0.0202,0.0289
0.684,-0.0183,0.0299
0.701,-0.0164,0.0308
0.716,-0.0154,0.0308
0.734,-0.0154,0.0308
0.751,-0.0145,0.0308
1.009,-0.0145,0.0308
1.019,-0.0135,0.0308
1.034,-0.0135,0.0308
1.052,-0.0096,0.0299
1.068,-0.0029,0.0289
1.085,0,0.0289
1.1,0.0077,0.0289
1.117,0.0125,0.0289
1.133,0.0164,0.0289
1.15,0.0193,0.0289
1.166,0.0212,0.0289
1.42,0.0222,0.0289
1.425,0.0231,0.0289
1.433,0.0251,0.0289
1.452,0.0279,0.0289
1.467,0.0328,0.0289
1.484,0.0395,0.0299
1.5,0.054,0.0299
1.518,0.0626,0.0299
1.533,0.0703,0.0299
1.552,0.0781,0.0299
1.567,0.0848,0.0299
1.585,0.0896,0.0299
1.601,0.0973,0.0299
1.617,0.1031,0.0299
1.635,0.1099,0.0308
1.651,0.1156,0.0328
1.667,0.1195,0.0347
1.684,0.1233,0.0385
1.7,0.1253,0.0395
1.921,0.1272,0.0395
1.929,0.1301,0.0385
1.936,0.1349,0.0366
1.951,0.1397,0.0347
1.967,0.1503,0.0308
1.985,0.1754,0.0241
2.001,0.2033,0.0183
2.018,0.2284,0.0154
2.033,0.2525,0.0154
2.05,0.2872,0.0154
2.068,0.292,0.0154
2.084,0.3305,0.0173
2.101,0.344,0.0202
2.117,0.3662,0.025
2.133,0.3826,0.0289
2.15,0.4009,0.0347
2.166,0.4182,0.0385
2.183,0.4307,0.0414
2.201,0.4462,0.0443
2.217,0.4596,0.0462
2.234,0.478,0.0482
2.25,0.4828,0.0491
2.266,0.503,0.0491
2.283,0.5165,0.0491
2.3,0.5319,0.0491
2.316,0.5541,0.0482
2.333,0.5676,0.0462
2.35,0.5907,0.0424
2.366,0.61,0.0405
2.383,0.6244,0.0395
2.401,0.6475,0.0385
2.417,0.6678,0.0385
2.436,0.6871,0.0376
2.45,0.7073,0.0376
2.467,0.7304,0.0366
2.483,0.7458,0.0366
2.5,0.7613,0.0366
2.516,0.7757,0.0356
2.533,0.7902,0.0356
2.55,0.8056,0.0347
2.567,0.821,0.0347
2.584,0.8355,0.0328
2.6,0.8528,0.0289
2.617,0.8576,0.0279
2.634,0.8721,0.025
2.653,0.8759,0.0241
2.667,0.8865,0.0241
2.684,0.8942,0.0241
2.7,0.9,0.0241
2.716,0.9048,0.0241
2.734,0.9097,0.025
2.75,0.9135,0.025
2.766,0.9164,0.025
2.783,0.9174,0.025
2.8,0.9193,0.0222
3.087,0.9193,0.0222
3.096,0.9212,0.0222
3.103,0.9231,0.0222
3.119,0.926,0.0222
3.134,0.9337,0.0222
3.15,0.9443,0.0231
3.166,0.9511,0.0241
3.184,0.9588,0.025
3.2,0.9665,0.025
3.216,0.9675,0.025
3.234,0.9694,0.025
3.251,0.9713,0.025
3.267,0.9723,0.025
3.283,0.9733,0.025
3.299,0.9742,0.025
3.319,0.9761,0.025
3.334,0.9771,0.025
3.351,0.9781,0.025
3.367,0.979,0.025
3.384,0.98,0.0241
3.4,0.98,0.0241
3.417,0.981,0.0241
3.433,0.9829,0.0241
3.45,0.9838,0.0241
3.466,0.9838,0.0241
3.483,0.9848,0.0241
3.5,0.9848,0.0241
3.519,0.9848,0.0241
3.533,0.9858,0.0241
3.55,0.9867,0.0241
3.569,0.9887,0.0241
3.584,0.9906,0.0241
3.602,0.9925,0.0241
3.617,0.9935,0.0241
3.635,0.9944,0.0241
3.651,0.9964,0.025
3.667,0.9973,0.025
3.683,0.9983,0.026
3.699,0.9993,0.026
