# type=drags viewport=1280x720 start=108,322 end=1178,360
t,rx,ry
0,0,0
0.016,-0.0067,0
0.032,-0.0124,0
0.049,-0.0153,0
0.065,-0.0162,0.001
0.084,-0.0182,0.0029
0.099,-0.0201,0.0038
0.115,-0.022,0.0057
0.133,-0.0239,0.0057
0.149,-0.0248,0.0076
0.166,-0.0248,0.0076
0.183,-0.0258,0.0076
0.212,-0.0258,0.0076
0.219,-0.0258,0.0076
0.232,-0.0258,0.0086
0.25,-0.0258,0.0086
0.265,-0.0258,0.0105
0.282,-0.0248,0.0134
0.3,-0.0229,0.0172
0.316,-0.0201,0.022
0.332,-0.0182,0.0258
0.351,-0.0172,0.0306
0.366,-0.0162,0.0334
0.382,-0.0153,0.0353
0.399,-0.0153,0.0363
0.416,-0.0143,0.0372
0.433,-0.0143,0.0372
0.45,-0.0134,0.0372
0.466,-0.0124,0.0372
0.482,-0.0115,0.0372
0.5,-0.0115,0.0372
0.535,-0.0115,0.0372
0.55,-0.0105,0.0372
0.566,-0.0105,0.0372
0.812,-0.0105,0.0372
0.819,-0.0086,0.0372
0.832,-0.0057,0.0372
0.848,0.001,0.0372
0.868,0.0086,0.0372
0.882,0.0162,0.0372
0.901,0.0229,0.0372
0.917,0.0315,0.0372
0.932,0.0334,0.0363
0.95,0.0363,0.0353
1.184,0.0373,0.0353
1.186,0.0401,0.0353
1.2,0.043,0.0353
1.216,0.0525,0.0353
1.232,0.0678,0.0353
1.249,0.0869,0.0353
1.266,0.108,0.0353
1.283,0.1299,0.0325
1.3,0.1462,0.0287
1.317,0.1662,0.0239
1.333,0.1825,0.0201
1.349,0.1949,0.0172
1.366,0.2064,0.0143
1.383,0.2111,0.0134
1.642,0.213,0.0134
1.65,0.2178,0.0124
1.667,0.2226,0.0115
1.683,0.2331,0.0115
1.7,0.2503,0.0115
1.717,0.2837,0.0115
1.732,0.2952,0.0134
1.75,0.3181,0.0162
1.765,0.3506,0.0181
1.782,0.3668,0.0181
1.8,0.385,0.0181
1.815,0.4012,0.0181
1.834,0.4146,0.0172
1.849,0.4251,0.0162
1.865,0.4356,0.0162
1.883,0.4461,0.0162
1.899,0.4557,0.0162
1.917,0.47,0.0181
1.934,0.4748,0.0191
1.95,0.4863,0.022
1.965,0.4939,0.0229
1.982,0.5025,0.0239
1.999,0.513,0.0248
2.016,0.5235,0.0258
2.033,0.535,0.0267
2.049,0.5464,0.0296
2.065,0.5589,0.0315
2.082,0.5799,0.0334
2.099,0.5913,0.0334
2.116,0.6162,0.0334
2.133,0.6277,0.0325
2.15,0.6429,0.0306
2.166,0.6563,0.0287
2.182,0.6706,0.0287
2.199,0.684,0.0287
2.216,0.7022,0.0277
2.232,0.7127,0.0277
2.249,0.727,0.0267
2.266,0.7404,0.0258
2.283,0.7528,0.0248
2.3,0.77,0.0239
2.316,0.7824,0.0239
2.334,0.7881,0.0239
2.349,0.8015,0.0248
2.366,0.8101,0.0248
2.383,0.8149,0.0248
2.4,0.8197,0.0181
2.719,0.8206,0.0181
2.721,0.8244,0.0181
2.734,0.8292,0.0181
2.749,0.8436,0.0181
2.765,0.8569,0.0181
2.782,0.8837,0.0201
2.799,0.9009,0.0239
2.816,0.9209,0.0277
2.832,0.9334,0.0296
2.851,0.941,0.0296
2.866,0.9496,0.0296
2.884,0.9544,0.0296
2.899,0.9611,0.0296
2.916,0.962,0.0296
2.932,0.9668,0.0306
2.949,0.9687,0.0315
2.965,0.9706,0.0315
2.982,0.9735,0.0325
2.998,0.9754,0.0325
3.015,0.9783,0.0334
3.034,0.9802,0.0334
3.049,0.983,0.0334
3.065,0.9849,0.0334
3.082,0.9888,0.0334
3.1,0.9888,0.0334
3.116,0.9897,0.0334
3.132,0.9907,0.0334
