# type=drags viewport=1280x720 start=509,416 end=651,416 mousedown_t=1.718
t,rx,ry
0,0.3806,-0.0431
0.016,0.359,-0.0215
0.033,0.3375,-0.0144
0.049,0.3088,0
0.065,0.3016,0.0144
0.082,0.2944,0.0144
0.1,0.2872,0.0215
0.116,0.2872,0.0287
0.132,0.28,0.0287
0.149,0.28,0.0359
0.167,0.2729,0.0431
0.182,0.2729,0.0431
0.198,0.2657,0.0431
0.216,0.2585,0.0431
0.234,0.2513,0.0431
0.248,0.2226,0.0431
0.264,0.2082,0.0431
0.281,0.1795,0.0359
0.298,0.158,0.0287
0.315,0.1436,0.0287
0.331,0.1364,0.0215
0.348,0.1292,0.0215
0.366,0.1221,0.0215
0.382,0.1221,0.0215
0.398,0.1221,0.0215
0.416,0.1149,0.0215
0.432,0.1149,0.0287
0.448,0.1077,0.0287
0.465,0.1005,0.0359
0.481,0.0933,0.0359
0.498,0.0862,0.0359
0.515,0.079,0.0359
0.532,0.079,0.0287
0.548,0.0718,0.0287
0.565,0.0646,0.0215
0.581,0.0646,0.0215
0.616,0.0646,0.0215
0.67,0.0646,0.0215
0.678,0.0646,0.0215
0.742,0.0574,0.0215
0.758,0.0574,0.0144
0.767,0.0574,0.0144
0.784,0.0503,0.0144
0.799,0.0503,0.0144
0.816,0.0431,0.0072
0.833,0.0359,0
0.849,0.0359,0
0.869,0.0359,0
0.885,0.0359,0
0.898,0.0287,0
0.917,0.0287,0
0.933,0.0215,0
0.948,0.0144,-0.0072
0.966,0.0144,-0.0072
0.983,0.0072,-0.0072
1,0.0072,-0.0072
1.218,0.0072,0
1.22,0.0072,0
1.278,0.0072,0
1.358,0,0
1.718,0,0
1.935,0.0072,0
1.951,0.0215,0
1.973,0.0574,0
1.985,0.1077,0
2.001,0.1651,0
2.017,0.2298,0
2.032,0.2872,0
2.049,0.3375,0
2.067,0.3806,0
2.082,0.4093,0
2.099,0.4236,-0.0072
2.116,0.4308,-0.0072
2.132,0.438,-0.0072
2.201,0.438,-0.0072
2.219,0.4524,-0.0072
2.233,0.4811,-0.0072
2.249,0.517,-0.0072
2.266,0.5529,-0.0072
2.282,0.5888,-0.0072
2.299,0.6247,-0.0072
2.317,0.6462,-0.0072
2.332,0.6678,-0.0072
2.351,0.6821,-0.0072
2.366,0.6965,-0.0072
2.385,0.6965,-0.0072
2.4,0.7037,-0.0072
2.418,0.7037,-0.0072
2.432,0.7109,-0.0072
2.449,0.718,-0.0072
2.466,0.7324,-0.0072
2.483,0.7468,-0.0072
2.499,0.7683,-0.0072
2.516,0.7755,-0.0072
2.534,0.7827,-0.0072
2.55,0.7898,-0.0072
2.568,0.7898,-0.0072
2.601,0.797,0
2.632,0.797,0
2.649,0.797,0
2.666,0.8042,0
2.686,0.8186,0
2.699,0.8329,0.0072
2.718,0.8545,0.0072
2.734,0.8688,0.0144
2.751,0.8832,0.0144
2.767,0.8904,0.0144
2.785,0.8904,0.0215
2.832,0.8904,0.0215
2.883,0.8904,0.0215
2.951,0.8904,0.0215
3.05,0.8976,0.0215
3.082,0.8976,0.0215
3.108,0.8976,0.0215
3.116,0.8976,0.0215
3.136,0.8976,0.0215
3.168,0.9047,0.0215
3.182,0.9047,0.0287
3.199,0.9047,0.0287
3.218,0.9047,0.0287
3.234,0.9119,0.0287
3.25,0.9119,0.0287
3.267,0.9119,0.0287
3.283,0.9119,0.0287
3.3,0.9191,0.0287
3.317,0.9191,0.0287
3.333,0.9191,0.0287
3.351,0.9191,0.0287
3.386,0.9263,0.0287
3.399,0.9263,0.0287
3.416,0.9263,0.0287
3.432,0.9263,0.0287
3.449,0.9335,0.0287
3.467,0.9335,0.0287
3.483,0.9335,0.0287
3.501,0.9335,0.0287
3.516,0.9406,0.0287
3.549,0.9406,0.0287
3.784,0.9406,0.0287
