# type=drags viewport=1280x720 start=136,375 end=1178,360
t,rx,ry
0,0,0
0.019,-0.0029,0
0.033,-0.0059,-0.001
0.051,-0.0088,-0.001
0.066,-0.0118,-0.001
0.082,-0.0147,-0.001
0.099,-0.0167,-0.001
0.116,-0.0177,-0.001
0.132,-0.0177,-0.001
0.149,-0.0177,-0.001
0.186,-0.0177,-0.001
0.271,-0.0186,-0.001
0.301,-0.0186,-0.001
0.303,-0.0186,-0.001
0.316,-0.0196,-0.001
0.334,-0.0216,-0.002
0.349,-0.0235,-0.002
0.366,-0.0255,-0.0029
0.384,-0.0275,-0.0039
0.399,-0.0284,-0.0039
0.416,-0.0294,-0.0049
0.434,-0.0294,-0.0049
0.455,-0.0294,-0.0049
0.468,-0.0294,-0.0059
0.484,-0.0294,-0.0059
0.803,-0.0284,-0.0059
0.807,-0.0265,-0.0059
0.817,-0.0245,-0.0059
0.833,-0.0226,-0.0059
0.85,-0.0186,-0.0059
0.866,-0.0157,-0.0059
0.882,-0.0137,-0.0059
0.899,-0.0118,-0.0059
0.915,-0.0108,-0.0059
0.932,-0.0078,-0.0059
0.952,-0.0059,-0.0059
0.966,-0.0039,-0.0059
0.983,-0.0039,-0.0069
1.168,-0.0039,-0.0069
1.174,-0.001,-0.0069
1.183,0.0029,-0.0069
1.199,0.0078,-0.0088
1.218,0.0226,-0.0108
1.233,0.0431,-0.0127
1.25,0.0667,-0.0137
1.268,0.0951,-0.0137
1.282,0.1187,-0.0137
1.299,0.1363,-0.0137
1.316,0.151,-0.0137
1.334,0.1638,-0.0137
1.349,0.1726,-0.0137
1.366,0.1804,-0.0137
1.382,0.1883,-0.0176
1.637,0.1883,-0.0176
1.639,0.1922,-0.0176
1.652,0.1971,-0.0176
1.666,0.2128,-0.0176
1.683,0.2491,-0.0176
1.702,0.2971,-0.0157
1.716,0.3422,-0.0049
1.733,0.3736,0.0029
1.748,0.4079,0.0127
1.766,0.4364,0.0196
1.783,0.4629,0.0255
1.8,0.4785,0.0265
1.815,0.4952,0.0275
1.832,0.508,0.0275
1.853,0.5138,0.0245
1.866,0.5286,0.0167
1.882,0.5344,0.0147
2.158,0.5344,0.0147
2.168,0.5393,0.0147
2.184,0.5531,0.0118
2.201,0.5629,0.0098
2.217,0.5825,0.0078
2.234,0.6109,0.0069
2.249,0.658,0.0069
2.266,0.6855,0.0069
2.282,0.708,0.0078
2.299,0.7276,0.0078
2.315,0.7423,0.0078
2.334,0.759,0.0078
2.349,0.7718,0.0069
2.367,0.7835,0.0059
2.382,0.7923,0.0059
2.401,0.8002,0.0049
2.418,0.808,0.0049
2.433,0.8149,0.0039
2.45,0.8237,0.0029
2.468,0.8306,0.002
2.483,0.8375,0.001
2.499,0.8453,0.001
2.516,0.8522,0
2.532,0.859,0
2.549,0.8649,-0.001
2.565,0.8688,-0.002
2.584,0.8737,-0.0039
2.6,0.8777,-0.0049
2.617,0.8806,-0.0069
2.633,0.8845,-0.0078
2.649,0.8904,-0.0098
2.667,0.8943,-0.0098
2.682,0.8983,-0.0098
2.699,0.9022,-0.0108
2.715,0.9051,-0.0108
2.732,0.9081,-0.0118
2.75,0.911,-0.0118
2.767,0.912,-0.0118
2.782,0.9149,-0.0118
2.8,0.9198,-0.0118
2.817,0.9228,-0.0118
2.833,0.9296,-0.0098
2.849,0.9365,-0.0088
2.865,0.9424,-0.0069
2.882,0.9492,-0.0059
2.899,0.9561,-0.0049
2.916,0.962,-0.0029
2.933,0.9679,-0.0029
2.949,0.9747,-0.002
2.966,0.9767,-0.002
2.983,0.9816,-0.002
2.999,0.9826,-0.002
3.017,0.9845,-0.002
3.033,0.9865,-0.002
3.049,0.9865,-0.002
3.066,0.9875,-0.0029
3.082,0.9875,-0.0029
3.101,0.9875,-0.0029
3.125,0.9875,-0.0029
3.133,0.9885,-0.0029
3.15,0.9885,-0.0029
3.168,0.9885,-0.0029
3.183,0.9894,-0.0029
3.201,0.9904,-0.0029
3.217,0.9914,-0.0029
3.233,0.9934,-0.0029
3.248,0.9944,-0.0029
3.265,0.9953,-0.0029
3.282,0.9963,-0.0029
3.299,0.9963,-0.0029
3.315,0.9973,-0.0029
