# type=drags viewport=1280x720 start=509,420 end=733,416 mousedown_t=1.322
t,rx,ry
0,-0.1735,0.0822
0.016,-0.1507,0.0685
0.033,-0.1278,0.0593
0.05,-0.1187,0.0548
0.068,-0.1096,0.0502
0.083,-0.1096,0.0502
0.1,-0.105,0.0502
0.221,-0.105,0.0502
0.227,-0.105,0.0502
0.235,-0.1004,0.0502
0.249,-0.0959,0.0456
0.266,-0.0822,0.0365
0.284,-0.0593,0.0228
0.3,-0.0548,0.0183
0.317,-0.0411,0.0091
0.335,-0.0274,0.0046
0.35,-0.0228,0.0046
0.367,-0.0183,0
0.383,-0.0183,0
0.401,-0.0183,0
0.416,-0.0137,0
0.433,-0.0137,-0.0046
0.451,-0.0091,-0.0091
0.468,0,-0.0091
0.485,0.0091,-0.0137
0.5,0.0137,-0.0183
0.518,0.032,-0.0274
0.535,0.0365,-0.0274
0.55,0.0502,-0.0365
0.567,0.0548,-0.0365
0.584,0.0593,-0.0411
0.6,0.0639,-0.0411
0.66,0.0593,-0.0411
0.668,0.0548,-0.0365
0.684,0.0502,-0.0365
0.701,0.0457,-0.0319
0.718,0.0411,-0.0319
0.735,0.0365,-0.0319
0.752,0.0365,-0.0319
0.766,0.032,-0.0319
0.785,0.0274,-0.0274
0.8,0.0274,-0.0274
0.817,0.0228,-0.0228
0.833,0.0183,-0.0228
0.851,0.0137,-0.0183
0.867,0.0137,-0.0183
0.884,0.0137,-0.0183
0.951,0.0137,-0.0183
0.956,0.0137,-0.0183
0.967,0.0137,-0.0183
0.983,0.0091,-0.0137
0.999,0.0046,-0.0091
1.016,0.0046,-0.0091
1.033,0,-0.0046
1.05,0,0
1.068,0,0
1.228,0,0
1.268,0,0
1.292,0,0
1.322,0,0
1.339,0,-0.0046
1.503,0.0046,-0.0046
1.523,0.0137,-0.0046
1.534,0.0365,-0.0046
1.563,0.0639,-0.0046
1.567,0.0959,-0.0046
1.584,0.1233,-0.0046
1.6,0.1461,-0.0046
1.617,0.1643,-0.0046
1.634,0.1735,-0.0046
1.651,0.178,-0.0046
1.67,0.1826,-0.0046
1.719,0.1872,-0.0046
1.736,0.1872,-0.0046
1.751,0.1963,-0.0046
1.768,0.21,-0.0046
1.785,0.2283,-0.0091
1.801,0.2557,-0.0137
1.817,0.283,-0.0183
1.836,0.3104,-0.0228
1.851,0.3424,-0.0274
1.869,0.3743,-0.0319
1.885,0.4063,-0.0319
1.901,0.4337,-0.0365
1.917,0.4611,-0.0365
1.934,0.4793,-0.0365
1.951,0.4976,-0.0365
1.968,0.5113,-0.0411
1.984,0.5204,-0.0411
2.002,0.525,-0.0411
2.018,0.5296,-0.0411
2.102,0.5341,-0.0411
2.121,0.5387,-0.0411
2.134,0.557,-0.0411
2.152,0.5843,-0.0365
2.168,0.6209,-0.0319
2.185,0.662,-0.0228
2.201,0.6893,-0.0137
2.218,0.7167,-0.0091
2.235,0.735,-0.0046
2.251,0.7533,0
2.269,0.7578,0.0046
2.285,0.7624,0.0046
2.301,0.7624,0.0091
2.336,0.7624,0.0091
2.486,0.767,0.0091
2.504,0.7715,0.0091
2.518,0.7806,0.0091
2.542,0.7943,0.0091
2.552,0.8126,0.0091
2.568,0.8263,0.0091
2.585,0.8354,0.0091
2.601,0.8446,0.0091
2.619,0.8537,0.0091
2.635,0.8583,0.0091
2.652,0.8628,0.0091
2.667,0.8674,0.0091
2.868,0.8674,0.0091
2.888,0.872,0.0091
2.902,0.8811,0.0091
2.92,0.8902,0.0091
2.941,0.8993,0.0137
2.951,0.9085,0.0183
2.968,0.9176,0.0183
2.985,0.9222,0.0228
3.001,0.9267,0.0228
3.019,0.9267,0.0228
3.052,0.9267,0.0228
3.101,0.9267,0.0228
3.119,0.9313,0.0228
3.135,0.9359,0.0228
3.153,0.9404,0.0228
3.169,0.9496,0.0228
3.185,0.9541,0.0228
3.203,0.9587,0.0228
3.218,0.9633,0.0228
3.336,0.9633,0.0228
3.355,0.9633,0.0228
3.367,0.9678,0.0228
3.384,0.9678,0.0228
3.401,0.9724,0.0228
3.419,0.977,0.0228
3.436,0.977,0.0228
3.768,0.9815,0.0228
3.788,0.977,0.0228
3.802,0.977,0.0228
3.821,0.977,0.0228
3.842,0.9724,0.0274
3.851,0.9724,0.0274
3.884,0.9724,0.0274
4.136,0.9724,0.0274
4.155,0.9724,0.0274
4.168,0.9724,0.0274
4.193,0.977,0.0274
4.203,0.977,0.0274
4.22,0.9815,0.0274
4.235,0.9815,0.0228
4.253,0.9861,0.0228
4.269,0.9861,0.0228
4.302,0.9861,0.0183
4.318,0.9906,0.0183
4.336,0.9906,0.0183
4.351,0.9906,0.0137
4.636,0.9906,0.0137
