# type=drags viewport=1280x720 start=138,350 end=1178,360
t,rx,ry
0,0,0
0.016,-0.0039,0.001
0.031,-0.0069,0.002
0.048,-0.0098,0.0029
0.066,-0.0108,0.0029
0.082,-0.0128,0.0029
0.099,-0.0147,0.0029
0.116,-0.0167,0.0029
0.132,-0.0197,0.0039
0.148,-0.0216,0.0039
0.165,-0.0246,0.0049
0.182,-0.0275,0.0059
0.199,-0.0305,0.0059
0.216,-0.0344,0.0069
0.232,-0.0364,0.0069
0.249,-0.0393,0.0069
0.265,-0.0403,0.0069
0.282,-0.0403,0.0069
0.299,-0.0413,0.0069
0.506,-0.0413,0.0069
0.522,-0.0413,0.0069
0.537,-0.0413,0.0069
0.601,-0.0413,0.0069
0.652,-0.0413,0.0069
0.658,-0.0403,0.0069
0.668,-0.0393,0.0069
0.682,-0.0383,0.0069
0.702,-0.0354,0.0088
0.716,-0.0324,0.0098
0.733,-0.0295,0.0108
0.749,-0.0255,0.0128
0.766,-0.0246,0.0138
0.985,-0.0246,0.0138
0.993,-0.0226,0.0138
1.001,-0.0216,0.0138
1.017,-0.0206,0.0138
1.033,-0.0167,0.0147
1.05,-0.0138,0.0147
1.066,-0.0118,0.0157
1.083,-0.0108,0.0157
1.1,-0.0098,0.0157
1.138,-0.0098,0.0157
1.153,-0.0098,0.0157
1.166,-0.0088,0.0157
1.183,-0.0059,0.0157
1.198,-0.002,0.0157
1.215,0.0049,0.0157
1.233,0.0138,0.0167
1.248,0.0246,0.0177
1.266,0.0354,0.0177
1.284,0.0462,0.0187
1.299,0.057,0.0187
1.316,0.0688,0.0187
1.332,0.0943,0.0128
1.348,0.1169,0.0059
1.366,0.1444,-0.002
1.383,0.1739,-0.0069
1.398,0.2014,-0.0088
1.417,0.225,-0.0088
1.433,0.2437,-0.0049
1.45,0.2545,0.001
1.466,0.2673,0.0098
1.482,0.2731,0.0147
1.5,0.283,0.0216
1.515,0.284,0.0226
1.835,0.2849,0.0226
1.841,0.2889,0.0206
1.85,0.2948,0.0177
1.866,0.3026,0.0147
1.883,0.3213,0.0088
1.899,0.34,0.0059
1.916,0.3881,0.002
1.932,0.4235,0.002
1.949,0.453,0.002
1.966,0.4785,0.0039
1.982,0.4942,0.0059
1.998,0.5129,0.0079
2.015,0.5276,0.0088
2.032,0.5404,0.0098
2.05,0.5512,0.0098
2.066,0.562,0.0098
2.083,0.5728,0.0098
2.1,0.5905,0.0069
2.116,0.6043,0.0049
2.132,0.617,0.0049
2.149,0.6318,0.0049
2.166,0.6446,0.0049
2.183,0.6563,0.0049
2.199,0.6672,0.0049
2.216,0.677,0.0049
2.233,0.6858,0.0049
2.249,0.6947,0.0049
2.266,0.7055,0.0049
2.284,0.7261,0.002
2.299,0.7467,0
2.315,0.7595,-0.002
2.332,0.7742,-0.0039
2.349,0.789,-0.0039
2.367,0.8027,-0.0049
2.382,0.8185,-0.0049
2.398,0.8332,-0.0049
2.415,0.8479,-0.0049
2.432,0.8676,-0.0049
2.448,0.8735,-0.0049
2.466,0.8872,-0.0049
2.481,0.899,-0.0049
2.498,0.9039,-0.0049
2.515,0.9098,-0.0049
2.533,0.9148,-0.0049
2.548,0.9187,-0.0049
2.565,0.9216,-0.0049
2.582,0.9246,-0.0049
2.598,0.9275,-0.0039
2.615,0.9305,-0.0029
2.632,0.9354,-0.001
2.65,0.9413,0.002
2.665,0.9423,0.0029
2.682,0.9482,0.0049
2.699,0.9511,0.0059
2.715,0.9541,0.0069
2.732,0.957,0.0079
2.749,0.96,0.0088
2.766,0.9629,0.0108
2.782,0.9649,0.0118
2.799,0.9678,0.0128
2.815,0.9698,0.0138
2.832,0.9727,0.0147
2.85,0.9767,0.0167
2.867,0.9796,0.0167
2.882,0.9845,0.0177
2.899,0.9884,0.0187
2.916,0.9914,0.0187
2.932,0.9934,0.0187
2.948,0.9963,0.0187
2.965,0.9983,0.0177
2.982,1.0012,0.0177
2.999,1.0032,0.0167
3.016,1.0051,0.0167
3.033,1.0071,0.0157
3.049,1.0081,0.0157
3.065,1.0091,0.0157
3.082,1.0101,0.0157
3.098,1.011,0.0157
3.114,1.012,0.0147
3.132,1.013,0.0138
