# type=drags viewport=1280x720 start=138,369 end=1178,360
t,rx,ry
0,0,0
0.015,-0.0049,0
0.028,-0.0079,0
0.046,-0.0128,0
0.062,-0.0147,0
0.078,-0.0167,-0.002
0.095,-0.0177,-0.002
0.111,-0.0187,-0.002
0.128,-0.0197,-0.002
0.145,-0.0206,-0.002
0.162,-0.0216,-0.002
0.18,-0.0236,-0.002
0.196,-0.0246,-0.002
0.213,-0.0265,-0.002
0.23,-0.0285,-0.002
0.247,-0.0324,-0.002
0.264,-0.0354,-0.002
0.279,-0.0413,-0.002
0.295,-0.0452,-0.002
0.313,-0.0481,-0.002
0.54,-0.0481,-0.002
0.548,-0.0462,-0.0029
0.565,-0.0432,-0.0039
0.58,-0.0373,-0.0059
0.596,-0.0265,-0.0088
0.613,-0.0157,-0.0108
0.63,-0.0069,-0.0118
0.646,-0.001,-0.0128
0.663,0.0039,-0.0138
0.678,0.0079,-0.0138
0.695,0.0088,-0.0138
0.712,0.0098,-0.0147
0.729,0.0098,-0.0147
0.916,0.0108,-0.0147
0.923,0.0138,-0.0147
0.931,0.0167,-0.0147
0.946,0.0206,-0.0147
0.963,0.0314,-0.0147
0.979,0.0501,-0.0147
0.997,0.0707,-0.0138
1.013,0.0943,-0.0118
1.03,0.1209,-0.0108
1.046,0.1474,-0.0098
1.063,0.1661,-0.0098
1.078,0.1995,-0.0098
1.094,0.2142,-0.0088
1.111,0.2201,-0.0088
1.129,0.223,-0.0088
1.365,0.224,-0.0088
1.371,0.227,-0.0088
1.381,0.2309,-0.0098
1.396,0.2368,-0.0118
1.414,0.2506,-0.0138
1.429,0.2761,-0.0167
1.446,0.3075,-0.0187
1.461,0.3488,-0.0196
1.478,0.3763,-0.0196
1.494,0.4019,-0.0196
1.511,0.4274,-0.0187
1.528,0.4421,-0.0177
1.546,0.4598,-0.0157
1.562,0.4706,-0.0157
1.578,0.4795,-0.0157
1.596,0.4834,-0.0157
1.614,0.4873,-0.0167
1.63,0.4913,-0.0187
1.645,0.4923,-0.0206
1.899,0.4932,-0.0206
1.906,0.4982,-0.0216
1.914,0.504,-0.0236
1.931,0.5109,-0.0265
1.946,0.5375,-0.0324
1.963,0.5669,-0.0334
1.979,0.6043,-0.0334
1.998,0.6367,-0.0334
2.011,0.6632,-0.0275
2.029,0.6868,-0.0236
2.044,0.7143,-0.0187
2.061,0.7349,-0.0167
2.078,0.7517,-0.0167
2.095,0.7654,-0.0167
2.112,0.7733,-0.0167
2.129,0.7811,-0.0167
2.146,0.79,-0.0167
2.164,0.7968,-0.0167
2.178,0.8047,-0.0167
2.197,0.8136,-0.0167
2.212,0.8234,-0.0157
2.231,0.8332,-0.0157
2.245,0.8479,-0.0157
2.264,0.8578,-0.0157
2.278,0.8666,-0.0157
2.297,0.8764,-0.0157
2.312,0.8863,-0.0167
2.328,0.8971,-0.0187
2.345,0.9049,-0.0206
2.362,0.9128,-0.0226
2.378,0.9197,-0.0226
2.397,0.9275,-0.0236
2.412,0.9334,-0.0236
2.432,0.9383,-0.0236
2.445,0.9482,-0.0236
2.462,0.955,-0.0236
2.478,0.9609,-0.0236
2.496,0.9658,-0.0226
2.512,0.9727,-0.0206
2.528,0.9767,-0.0196
2.545,0.9796,-0.0187
2.562,0.9835,-0.0177
2.578,0.9865,-0.0177
2.596,0.9894,-0.0177
2.614,0.9914,-0.0177
2.628,0.9934,-0.0177
2.645,0.9943,-0.0177
2.662,0.9953,-0.0177
2.678,0.9963,-0.0177
2.695,0.9973,-0.0177
2.712,0.9983,-0.0167
2.728,0.9993,-0.0157
2.748,1.0002,-0.0147
2.762,1.0022,-0.0138
2.78,1.0022,-0.0138
2.796,1.0032,-0.0128
2.815,1.0042,-0.0128
2.829,1.0042,-0.0147
