# type=drags viewport=1280x720 start=468,417 end=702,416 mousedown_t=1.787
t,rx,ry
0,-0.1487,0.1137
0.017,-0.1399,0.1093
0.033,-0.1399,0.1093
0.05,-0.1312,0.1005
0.067,-0.1268,0.1005
0.084,-0.1181,0.0962
0.101,-0.1137,0.0874
0.118,-0.1093,0.0831
0.134,-0.1006,0.0787
0.151,-0.0962,0.0787
0.168,-0.0874,0.0699
0.184,-0.0831,0.0699
0.201,-0.0787,0.0656
0.217,-0.0743,0.0656
0.234,-0.0743,0.0612
0.251,-0.07,0.0612
0.267,-0.0656,0.0568
0.286,-0.0612,0.0568
0.301,-0.0568,0.0525
0.317,-0.0525,0.0481
0.334,-0.0481,0.0481
0.35,-0.0437,0.0437
0.367,-0.0394,0.0393
0.384,-0.035,0.0393
0.401,-0.0262,0.035
0.418,-0.0219,0.0306
0.435,-0.0175,0.0306
0.451,-0.0131,0.0262
0.468,-0.0131,0.0262
0.485,-0.0087,0.0262
0.528,-0.0087,0.0262
0.569,-0.0087,0.0262
0.577,-0.0087,0.0262
0.588,-0.0044,0.0219
0.603,-0.0044,0.0219
0.618,-0.0044,0.0219
0.636,0,0.0219
0.651,0.0044,0.0175
0.667,0.0087,0.0175
0.685,0.0087,0.0175
0.703,0.0087,0.0175
0.719,0.0131,0.0175
0.733,0.0131,0.0175
0.751,0.0131,0.0175
0.768,0.0175,0.0175
0.785,0.0175,0.0175
0.803,0.0175,0.0175
0.871,0.0175,0.0131
0.928,0.0175,0.0131
0.938,0.0175,0.0087
0.954,0.0175,0.0044
0.97,0.0175,-0.0044
0.985,0.0175,-0.0131
1.003,0.0175,-0.0219
1.019,0.0175,-0.0306
1.034,0.0131,-0.0306
1.051,0.0131,-0.035
1.096,0.0131,-0.035
1.128,0.0131,-0.035
1.144,0.0087,-0.035
1.16,0.0087,-0.035
1.176,0.0087,-0.035
1.203,0.0087,-0.035
1.219,0.0044,-0.0306
1.234,0.0044,-0.0306
1.251,0,-0.0262
1.267,-0.0044,-0.0175
1.284,-0.0087,-0.0131
1.3,-0.0131,-0.0087
1.317,-0.0131,-0.0044
1.334,-0.0131,-0.0044
1.351,-0.0175,0
1.387,-0.0175,0
1.555,-0.0175,0
1.56,-0.0131,0
1.575,-0.0131,0
1.588,-0.0131,0
1.614,-0.0087,0
1.617,-0.0044,0
1.634,-0.0044,0
1.662,0,0
1.787,0,0
2.119,0,0
2.139,0.0044,0
2.152,0.0131,-0.0044
2.171,0.0262,-0.0044
2.193,0.0437,-0.0044
2.202,0.0656,-0.0087
2.219,0.0874,-0.0131
2.235,0.1093,-0.0131
2.253,0.1312,-0.0175
2.27,0.153,-0.0175
2.285,0.1749,-0.0175
2.303,0.1836,-0.0219
2.32,0.1924,-0.0219
2.337,0.1968,-0.0219
2.355,0.1968,-0.0219
2.418,0.2011,-0.0219
2.451,0.2011,-0.0219
2.468,0.2055,-0.0219
2.485,0.2143,-0.0219
2.503,0.2274,-0.0219
2.518,0.2492,-0.0219
2.535,0.2667,-0.0219
2.554,0.2886,-0.0219
2.571,0.3061,-0.0219
2.587,0.3236,-0.0219
2.603,0.3367,-0.0219
2.619,0.3454,-0.0219
2.636,0.3542,-0.0219
2.652,0.3542,-0.0219
2.669,0.3585,-0.0219
2.886,0.3585,-0.0219
2.905,0.3629,-0.0219
2.92,0.3629,-0.0219
2.938,0.3717,-0.0219
2.961,0.3848,-0.0219
2.969,0.4023,-0.0219
2.985,0.4241,-0.0219
3.002,0.4416,-0.0219
3.019,0.4591,-0.0219
3.035,0.481,-0.0219
3.052,0.4985,-0.0219
3.07,0.516,-0.0219
3.086,0.5334,-0.0219
3.103,0.5509,-0.0219
3.121,0.5641,-0.0219
3.137,0.5728,-0.0219
3.153,0.5772,-0.0219
3.17,0.5815,-0.0219
3.187,0.5815,-0.0219
3.204,0.5859,-0.0219
3.22,0.5947,-0.0219
3.237,0.6034,-0.0219
3.253,0.6165,-0.0219
3.27,0.634,-0.0219
3.286,0.6515,-0.0219
3.301,0.669,-0.0219
3.319,0.6865,-0.0219
3.336,0.7127,-0.0219
3.354,0.7302,-0.0219
3.369,0.7564,-0.0219
3.388,0.7783,-0.0219
3.405,0.8002,-0.0219
3.421,0.822,-0.0219
3.435,0.8351,-0.0219
3.453,0.8483,-0.0219
3.47,0.857,-0.0219
3.487,0.8658,-0.0262
3.504,0.8701,-0.0262
3.52,0.8745,-0.0262
