# type=drags viewport=1280x720 start=109,374 end=1178,360
t,rx,ry
0,0,0
0.015,-0.001,-0.0019
0.031,-0.0038,-0.0057
0.047,-0.0057,-0.0086
0.063,-0.0076,-0.0115
0.08,-0.0096,-0.0143
0.097,-0.0115,-0.0163
0.114,-0.0124,-0.0172
0.132,-0.0124,-0.0172
0.149,-0.0124,-0.0182
0.166,-0.0124,-0.0182
0.182,-0.0134,-0.0182
0.199,-0.0134,-0.0182
0.356,-0.0134,-0.0182
0.366,-0.0134,-0.0182
0.382,-0.0134,-0.0182
0.399,-0.0143,-0.0172
0.415,-0.0143,-0.0172
0.431,-0.0143,-0.0172
0.448,-0.0153,-0.0172
0.8,-0.0153,-0.0172
0.803,-0.0153,-0.0182
0.816,-0.0143,-0.0201
0.831,-0.0115,-0.022
0.848,-0.0086,-0.0239
0.864,-0.0067,-0.0258
0.88,-0.0057,-0.0268
0.897,-0.0038,-0.0268
0.915,-0.0038,-0.0268
0.931,-0.0038,-0.0268
1.014,-0.0038,-0.0268
1.019,-0.0038,-0.0268
1.03,-0.0038,-0.0258
1.047,-0.0038,-0.0258
1.065,-0.0038,-0.0249
1.08,-0.0038,-0.0249
1.097,-0.0038,-0.0239
1.116,-0.0029,-0.0239
1.132,-0.0029,-0.0229
1.148,-0.0019,-0.021
1.166,0,-0.0201
1.182,0.0019,-0.0182
1.198,0.0038,-0.0172
1.214,0.0057,-0.0163
1.23,0.0067,-0.0153
1.247,0.0086,-0.0153
1.264,0.0096,-0.0153
1.451,0.0105,-0.0153
1.458,0.0134,-0.0153
1.467,0.0172,-0.0153
1.481,0.0229,-0.0153
1.497,0.0335,-0.0153
1.515,0.0516,-0.0153
1.532,0.0755,-0.0105
1.549,0.1023,-0.0038
1.565,0.1195,0.0019
1.582,0.1396,0.0076
1.598,0.1606,0.0124
1.615,0.1673,0.0134
1.631,0.1759,0.0134
1.647,0.1788,0.0105
1.664,0.1807,0.0057
1.951,0.1817,0.0057
1.953,0.1846,0.0057
1.966,0.1874,0.0057
1.98,0.1941,0.0048
1.997,0.1999,0.0048
2.016,0.2037,0.0048
2.031,0.2113,0.0048
2.048,0.2171,0.0057
2.064,0.2218,0.0057
2.082,0.2266,0.0067
2.097,0.2305,0.0067
2.115,0.2343,0.0067
2.132,0.2391,0.0067
2.147,0.2438,0.0057
2.164,0.2515,0.0029
2.182,0.2572,0.001
2.197,0.263,-0.001
2.214,0.2668,-0.001
2.23,0.2725,-0.0019
2.247,0.2773,-0.0019
2.265,0.284,-0.0029
2.28,0.2897,-0.0038
2.297,0.2964,-0.0048
2.314,0.3031,-0.0076
2.332,0.3098,-0.0096
2.349,0.3175,-0.0124
2.364,0.328,-0.0143
2.381,0.3337,-0.0143
2.397,0.3395,-0.0143
2.415,0.3452,-0.0143
2.431,0.3481,-0.0143
2.447,0.3509,-0.0143
2.464,0.3529,-0.0143
2.482,0.3557,-0.0143
2.498,0.3605,-0.0143
2.515,0.3653,-0.0153
2.532,0.3729,-0.0172
2.547,0.3815,-0.0182
2.564,0.3949,-0.0182
2.582,0.4035,-0.0182
2.597,0.4121,-0.0182
2.614,0.4198,-0.0182
2.631,0.4274,-0.0182
2.647,0.4351,-0.0182
2.664,0.4437,-0.0163
2.68,0.4513,-0.0153
2.698,0.459,-0.0153
2.715,0.4666,-0.0153
2.732,0.4724,-0.0153
2.747,0.4819,-0.0182
2.764,0.4867,-0.0191
2.78,0.4925,-0.0191
2.798,0.4944,-0.0191
2.816,0.4953,-0.0191
3.121,0.4972,-0.0191
3.134,0.5011,-0.0191
3.148,0.5116,-0.0201
