# type=holds viewport=1280x720
t,dx,dy
0,0,0
0.333,0,0
0.551,0,0
0.568,1,0
0.582,1,-1
0.599,1,-1
0.615,2,-2
0.632,2,-2
0.65,2,-3.1
0.665,3.1,-3.1
0.681,3.1,-3.1
0.699,3.1,-3.1
0.716,3.1,-3.1
0.733,3.1,-4.1
0.75,3.1,-4.1
0.782,3.1,-4.1
0.799,3.1,-4.1
0.833,3.1,-5.1
0.851,3.1,-5.1
0.884,3.1,-5.1
0.917,3.1,-5.1
0.998,3.1,-6.1
1.017,3.1,-6.1
1.032,3.1,-6.1
1.05,4.1,-6.1
1.335,3.1,-6.1
1.349,3.1,-6.1
1.366,3.1,-6.1
1.382,3.1,-7.1
1.398,2,-7.1
1.415,2,-7.1
1.433,1,-7.1
1.451,1,-7.1
1.485,1,-7.1
1.518,1,-7.1
1.551,0,-8.2
1.901,0,-8.2
2.184,0,-7.1
2.217,0,-7.1
2.551,0,-7.1
2.584,0,-7.1
2.618,0,-7.1
2.651,0,-6.1
2.751,0,-6.1
5.083,0,-6.1
5.368,0,-6.1
5.384,0,-6.1
5.967,0,-6.1
7.866,0,-6.1
8.133,0,-6.1
8.184,0,-6.1
8.252,0,-6.1
8.334,0,-6.1
8.366,0,-5.1
8.451,0,-5.1
8.533,0,-5.1
8.551,0,-4.1
8.602,0,-4.1
8.619,0,-4.1
8.632,0,-4.1
8.651,0,-4.1
8.667,0,-3.1
8.684,0,-3.1
8.699,0,-3.1
8.715,0,-3.1
8.733,0,-2
9.084,0,-2
9.118,0,-2
9.132,0,-3.1
9.167,0,-3.1
9.601,0,-3.1
9.718,0,-4.1
9.752,1,-4.1
9.835,1,-4.1
10.218,1,-4.1
10.284,1,-5.1
11.667,1,-5.1
11.701,0,-5.1
