# type=holds viewport=1280x720
t,dx,dy
0,0,0
0.303,0,0
0.316,-1,0
0.332,-1,0
0.349,-2,0
0.366,-2,0
0.583,-2,0
0.6,-2,1
0.617,-2,1
0.635,-3.1,2
0.649,-3.1,2
0.667,-3.1,2
0.683,-3.1,3.1
0.703,-3.1,3.1
0.716,-3.1,3.1
0.732,-3.1,4.1
0.749,-3.1,4.1
0.832,-3.1,4.1
0.869,-2,4.1
0.899,-2,4.1
0.933,-2,4.1
0.967,-2,4.1
1.236,-2,4.1
1.633,-2,4.1
1.685,-1,4.1
1.733,-1,4.1
1.749,-1,4.1
1.783,-1,3.1
1.802,-1,3.1
1.816,-1,3.1
2.101,-1,3.1
2.116,-1,3.1
2.134,-1,2
2.151,-1,2
2.167,-1,2
2.183,-1,2
2.251,-1,1
2.317,-2,1
2.4,-2,1
2.466,-2,1
2.549,-2,1
2.585,-2,1
2.62,-3.1,1
2.651,-3.1,1
2.665,-4.1,1
2.682,-4.1,1
2.699,-4.1,1
2.716,-4.1,1
2.733,-4.1,1
2.768,-5.1,1
2.816,-5.1,0
3.116,-5.1,0
3.135,-5.1,0
3.166,-4.1,0
3.217,-4.1,0
3.266,-4.1,0
3.317,-4.1,0
3.368,-3.1,0
3.416,-3.1,0
3.449,-3.1,0
3.466,-3.1,0
3.501,-2,0
3.536,-2,0
3.586,-2,1
3.649,-2,1
4.916,-2,1
4.933,-2,1
4.966,-2,2
4.999,-2,2
5.033,-2,2
5.049,-1,2
5.066,-1,2
5.101,-1,3.1
5.152,-1,3.1
5.183,-1,3.1
5.216,-1,3.1
5.266,-1,3.1
5.868,-1,3.1
6.349,-1,3.1
6.75,-1,3.1
6.835,0,3.1
6.883,0,3.1
6.933,0,3.1
7.417,0,3.1
8.283,1,3.1
8.299,1,3.1
8.682,1,3.1
8.718,1,3.1
8.768,1,3.1
8.783,2,2
9.134,2,2
9.151,2,2
9.183,2,2
9.235,2,2
10.236,3.1,2
10.586,3.1,2
10.668,3.1,2
10.717,3.1,2
10.768,3.1,2
10.834,3.1,3.1
10.867,3.1,3.1
10.919,3.1,3.1
11,3.1,3.1
11.536,3.1,4.1
11.568,3.1,3.1
11.585,2,3.1
11.6,2,3.1
11.633,2,3.1
11.649,2,3.1
