# type=holds viewport=1280x720
t,dx,dy
0,0,0
0.349,0,0
0.368,0,0
0.382,0,1
0.399,0,1
0.415,0,2
0.433,0,2
0.448,-1,3.1
0.465,-1,3.1
0.481,-1,3.1
0.498,-1,4.1
0.514,-1,4.1
0.548,-1,4.1
0.615,-1,4.1
0.632,-1,4.1
0.648,-1,5.1
0.681,-1,5.1
0.698,-1,5.1
0.714,-1,5.1
0.732,-1,5.1
0.75,0,6.1
0.765,0,6.1
0.782,1,6.1
0.799,2,6.1
0.814,2,6.1
0.831,2,6.1
0.881,3.1,6.1
1.414,3.1,6.1
1.447,3.1,6.1
1.498,3.1,6.1
1.782,3.1,5.1
2.182,3.1,5.1
2.415,3.1,4.1
2.697,3.1,4.1
2.714,4.1,4.1
2.734,4.1,4.1
2.748,4.1,4.1
2.764,5.1,4.1
2.78,5.1,4.1
2.797,5.1,4.1
3.08,5.1,4.1
3.431,5.1,4.1
3.516,5.1,4.1
3.565,5.1,4.1
4.132,4.1,4.1
4.433,4.1,4.1
4.5,4.1,4.1
4.566,3.1,4.1
4.616,3.1,4.1
5.016,3.1,4.1
5.08,2,4.1
5.1,2,4.1
5.115,2,4.1
5.131,2,4.1
5.147,1,4.1
5.164,1,4.1
5.181,1,4.1
5.198,0,4.1
5.215,0,4.1
5.232,0,4.1
5.264,-1,4.1
5.297,-1,4.1
5.33,-2,4.1
5.381,-2,4.1
5.414,-2,4.1
5.866,-2,4.1
5.898,-2,4.1
5.931,-2,4.1
5.999,-2,4.1
6.047,-1,4.1
6.097,-1,4.1
8.4,-1,4.1
8.432,-1,4.1
8.465,0,4.1
9.347,0,4.1
9.382,0,4.1
9.414,0,4.1
9.914,1,4.1
9.948,1,4.1
10.301,1,4.1
11.43,1,4.1
