# type=holds viewport=1280x720
t,dx,dy
0,0,0
0.265,-1,0
0.285,-1,0
0.296,-2,0
0.312,-3.1,0
0.329,-4.1,0
0.613,-4.1,0
0.633,-4.1,0
0.664,-3.1,0
0.681,-3.1,0
0.698,-3.1,-1
0.713,-3.1,-1
0.731,-3.1,-1
0.748,-3.1,-1
0.762,-3.1,-2
0.796,-2,-2
0.846,-2,-2
0.881,-2,-2
0.896,-2,-2
0.929,-1,-2
0.962,-1,-2
1.033,-1,-3.1
1.346,-1,-3.1
2.046,-2,-3.1
2.096,-2,-3.1
2.146,-2,-3.1
2.663,-2,-3.1
2.679,-2,-3.1
2.696,-2,-4.1
2.712,-2,-4.1
2.73,-2,-4.1
2.946,-2,-4.1
2.962,-2,-4.1
2.998,-2,-4.1
3.031,-2,-4.1
3.047,-2,-3.1
3.064,-2,-3.1
3.079,-2,-3.1
3.129,-2,-3.1
3.813,-2,-3.1
4.481,-2,-2
4.581,-2,-2
4.915,-2,-2
4.949,-2,-2
4.964,-3.1,-2
4.996,-3.1,-2
5.029,-3.1,-2
5.08,-4.1,-2
6.264,-4.1,-2
6.297,-3.1,-2
6.33,-3.1,-2
6.362,-3.1,-2
6.446,-3.1,-2
6.497,-3.1,-2
6.581,-2,-2
6.612,-2,-2
6.647,-2,-3.1
6.68,-2,-3.1
6.697,-1,-3.1
9.08,-1,-3.1
9.446,-2,-3.1
9.496,-2,-3.1
9.596,-2,-3.1
10.179,-2,-3.1
10.215,-2,-3.1
10.246,-3.1,-3.1
11.332,-3.1,-3.1
11.363,-2,-3.1
11.38,-2,-3.1
11.463,-2,-3.1
11.516,-2,-3.1
11.598,-1,-3.1
