# type=holds viewport=1280x720
t,dx,dy
0,0,0
0.298,0,0
0.515,0,0
0.531,1,0
0.548,1,0
0.563,1,0
0.58,1,0
0.614,2,-1
0.665,2,-1
2.448,2,-1
2.497,1,-1
2.549,1,-1
2.766,1,-1
2.781,1,-1
2.798,1,0
2.816,0,0
2.832,0,0
2.88,0,0
3.297,0,0
3.715,-1,0
3.783,-1,0
3.797,-1,0
3.831,-1,0
3.848,-2,0
3.865,-2,0
3.9,-2,0
3.951,-2,0
3.999,-3.1,0
4.05,-3.1,0
4.099,-3.1,-1
4.164,-3.1,-1
4.598,-3.1,-1
4.614,-2,-1
4.63,-2,-1
4.652,-2,-1
4.667,-2,-1
4.68,-2,-1
4.697,-1,-1
4.733,-1,-1
4.749,-1,-1
4.8,-1,-1
4.847,0,-1
4.863,0,-1
4.897,0,-1
4.915,0,-1
4.95,1,-1
4.965,1,-1
4.998,1,-1
5.03,1,-1
5.048,2,-1
5.081,2,-1
5.114,2,-1
5.149,2,-1
5.182,3.1,-1
5.517,3.1,-1
5.55,2,-1
5.599,2,-1
7.465,2,-1
8.165,2,-1
8.448,1,-1
9.35,1,-1
9.364,1,-1
9.399,1,-1
9.448,1,-1
9.498,2,-1
9.549,2,-1
9.565,2,-1
9.615,2,-1
9.665,3.1,-1
9.715,3.1,-2
9.749,3.1,-2
9.763,3.1,-2
10.163,3.1,-2
10.217,3.1,-3.1
10.999,3.1,-3.1
11.465,3.1,-3.1
11.78,2,-3.1
11.817,2,-3.1
11.864,2,-3.1
