# type=holds viewport=1280x720
t,dx,dy
0,0,0
0.331,0,0
0.349,0,-1
0.363,0,-1
0.38,0,-1
0.397,0,-2
0.414,0,-2
0.45,0,-2
0.649,0,-3.1
0.665,0,-3.1
0.698,0,-3.1
0.748,0,-3.1
0.816,1,-3.1
1.148,1,-3.1
1.165,0,-3.1
1.199,0,-3.1
1.214,0,-3.1
1.231,-1,-3.1
1.264,-1,-3.1
1.28,-1,-2
1.297,-1,-2
1.314,-1,-2
1.331,-1,-2
1.346,-2,-2
1.397,-2,-2
1.416,-2,-2
1.447,-2,-2
1.515,-2,-2
1.748,-2,-2
1.765,-2,-2
1.782,-3.1,-2
1.831,-3.1,-2
1.898,-3.1,-2
1.947,-3.1,-2
1.983,-4.1,-2
2,-4.1,-2
2.013,-4.1,-2
2.03,-4.1,-2
2.047,-4.1,-2
2.083,-5.1,-2
2.132,-5.1,-2
2.166,-5.1,-2
2.231,-5.1,-2
2.263,-5.1,-2
2.297,-5.1,-1
2.347,-5.1,-1
2.383,-5.1,-1
2.43,-5.1,-1
2.663,-4.1,-1
2.681,-4.1,-1
2.699,-4.1,0
2.931,-4.1,0
2.997,-4.1,0
3.367,-4.1,0
3.399,-4.1,-1
3.447,-4.1,-1
3.465,-4.1,-1
3.499,-3.1,-1
3.515,-3.1,-1
3.53,-3.1,-1
3.582,-3.1,-1
3.632,-2,-1
3.664,-2,-1
3.683,-2,-1
3.716,-2,-1
3.765,-2,-1
3.813,-2,-2
3.881,-2,-2
3.965,-1,-2
4.133,-1,-2
4.146,-1,-2
4.165,-1,-2
4.483,-2,-3.1
4.532,-2,-3.1
4.547,-2,-3.1
4.564,-2,-3.1
4.581,-3.1,-3.1
4.598,-3.1,-2
4.614,-3.1,-2
4.631,-3.1,-2
4.647,-4.1,-2
4.697,-4.1,-2
4.734,-4.1,-2
4.763,-4.1,-1
4.83,-4.1,-1
5.367,-4.1,-1
5.966,-4.1,-1
6.032,-4.1,-1
6.115,-4.1,-1
6.915,-4.1,-1
6.93,-4.1,-1
6.947,-4.1,-1
6.965,-4.1,-1
6.981,-4.1,-1
7.014,-5.1,-1
7.497,-5.1,-1
7.834,-5.1,-1
7.864,-5.1,-2
7.88,-4.1,-2
7.897,-4.1,-2
7.914,-4.1,-2
8.28,-4.1,-2
8.647,-4.1,-2
8.681,-4.1,-2
10.767,-3.1,-2
10.798,-3.1,-2
10.813,-3.1,-2
10.847,-3.1,-2
