# type=holds viewport=1280x720
t,dx,dy
0,0,0
0.317,0,0
0.332,0,-1
0.349,0,-1
0.366,1,-2
0.383,1,-2
0.716,1,-2
0.749,1,-2
0.782,1,-2
0.816,1,-2
0.832,1,-1
0.849,1,-1
0.866,0,-1
0.882,0,-1
0.918,0,-1
0.934,-1,-1
0.951,-1,-1
0.983,-1,-1
1.003,-1,-1
1.034,-2,-1
1.066,-2,-1
1.084,-2,-1
1.099,-2,-1
1.151,-3.1,-1
1.417,-3.1,-1
1.45,-3.1,-1
1.535,-2,-1
1.899,-2,-1
1.951,-2,-1
1.968,-2,-1
1.984,-2,-1
2,-2,-1
2.033,-1,-1
2.05,-1,-2
2.084,-1,-2
2.121,-1,-2
2.138,0,-2
2.185,0,-2
2.235,0,-2
2.753,0,-2
3.119,0,-2
3.434,0,-2
3.484,0,-2
3.518,0,-2
5.268,0,-2
5.335,0,-2
5.368,0,-2
5.451,0,-2
5.552,0,-2
5.601,0,-1
5.633,0,-1
5.65,0,-1
5.685,0,-1
5.699,0,0
5.717,0,0
5.752,1,0
5.784,1,0
7.085,1,0
7.102,1,0
7.434,1,0
7.45,1,0
7.483,1,0
7.516,1,0
7.551,2,0
8.467,2,0
10.085,2,0
10.132,2,-1
10.151,2,-1
10.185,2,-1
10.199,2,-1
10.251,2,-1
10.284,3.1,-1
10.884,3.1,-1
11.168,3.1,-1
11.452,3.1,-1
11.483,3.1,-1
11.532,3.1,-1
11.566,3.1,0
11.932,3.1,0
