# type=holds viewport=1280x720
t,dx,dy
0,0,0
0.299,0,0
0.363,0,0
0.531,0,0
0.547,0,0
0.563,1,0
0.58,1,0
0.598,1,0
0.613,2,0
0.631,2,0
0.647,3.1,0
0.665,3.1,0
0.681,3.1,0
0.713,3.1,0
1.299,4.1,0
1.313,4.1,0
1.346,4.1,0
1.398,4.1,0
1.731,5.1,0
1.747,5.1,0
4.749,5.1,0
5.08,4.1,0
5.166,4.1,0
5.215,4.1,0
5.498,4.1,0
5.532,4.1,0
5.63,3.1,0
7.482,3.1,0
7.514,4.1,0
7.53,4.1,0
7.546,4.1,0
7.564,4.1,1
7.596,4.1,1
7.931,4.1,1
7.946,4.1,1
7.98,4.1,1
8.032,4.1,1
8.113,5.1,2
8.165,5.1,2
8.264,5.1,2
8.299,5.1,2
8.513,5.1,2
8.53,5.1,3.1
8.564,5.1,3.1
8.632,5.1,3.1
9.113,6.1,3.1
9.179,6.1,3.1
9.731,6.1,3.1
9.799,6.1,3.1
10.413,6.1,3.1
10.463,6.1,3.1
10.529,6.1,3.1
11.063,6.1,3.1
11.081,5.1,3.1
11.098,5.1,3.1
11.114,5.1,2
11.13,5.1,2
11.146,5.1,2
11.916,5.1,2
