# type=holds viewport=1280x720
t,dx,dy
0,0,0
0.315,-1,0
0.333,-1,0
0.35,-1,0
0.367,-2,0
0.381,-2,0
0.434,-3.1,0
0.883,-3.1,0
0.898,-3.1,0
0.916,-2,0
0.932,-2,0
0.964,-2,0
0.998,-2,0
1.682,-2,0
1.698,-2,0
1.715,-2,0
1.749,-2,0
1.767,-3.1,0
1.815,-3.1,0
3.165,-3.1,0
3.233,-3.1,0
3.284,-3.1,0
3.299,-2,0
3.35,-2,0
3.417,-2,0
3.432,-2,0
3.483,-2,-1
3.55,-2,-1
3.6,-2,-1
3.632,-2,-1
3.666,-2,-1
3.7,-2,-2
3.717,-2,-2
3.734,-2,-2
3.767,-2,-2
4.133,-2,-3.1
4.565,-2,-3.1
4.599,-2,-4.1
4.616,-2,-4.1
5.2,-2,-4.1
5.383,-3.1,-4.1
5.4,-3.1,-4.1
5.416,-3.1,-4.1
5.432,-3.1,-4.1
5.449,-3.1,-4.1
5.465,-3.1,-3.1
5.483,-4.1,-3.1
5.499,-4.1,-3.1
5.518,-4.1,-3.1
5.535,-4.1,-3.1
5.565,-4.1,-3.1
5.582,-4.1,-3.1
5.684,-4.1,-2
5.701,-4.1,-2
5.716,-4.1,-2
5.766,-4.1,-2
5.849,-4.1,-1
6.183,-5.1,-1
6.598,-5.1,-1
6.631,-5.1,-1
6.648,-5.1,-1
6.666,-6.1,-1
6.749,-6.1,-1
7.067,-6.1,-1
7.085,-6.1,-1
7.1,-5.1,-1
7.133,-5.1,-1
7.181,-5.1,-1
7.198,-5.1,-1
7.215,-5.1,-1
8.032,-5.1,-1
8.068,-4.1,-1
8.083,-4.1,-1
8.533,-4.1,-1
8.582,-4.1,-1
10.166,-3.1,-1
10.42,-3.1,-1
10.784,-3.1,-1
10.8,-3.1,-1
10.865,-2,-1
11.765,-2,-1
