# type=holds viewport=1280x720
t,dx,dy
0,0,0
0.311,0,-1
0.328,0,-1
0.345,0,-1
0.361,0,-1
0.379,0,-2
0.396,0,-3.1
0.41,0,-3.1
0.443,0,-3.1
0.46,0,-3.1
0.478,0,-4.1
0.494,0,-4.1
0.512,1,-4.1
0.545,1,-4.1
0.58,1,-4.1
0.593,1,-4.1
0.626,1,-4.1
0.845,1,-4.1
0.861,1,-4.1
0.896,1,-4.1
0.962,1,-3.1
1.028,1,-3.1
1.063,1,-3.1
1.144,1,-3.1
1.245,2,-3.1
1.279,2,-3.1
1.311,2,-3.1
1.328,2,-3.1
1.345,2,-3.1
1.362,3.1,-3.1
1.393,3.1,-3.1
1.41,3.1,-3.1
2.444,3.1,-3.1
2.512,3.1,-3.1
2.929,3.1,-3.1
2.961,3.1,-3.1
3.011,3.1,-2
3.079,3.1,-2
3.161,2,-2
4.879,2,-2
4.928,2,-2
4.962,3.1,-2
5.395,3.1,-2
5.429,3.1,-2
5.493,3.1,-2
5.846,3.1,-2
5.876,3.1,-2
5.893,4.1,-3.1
5.911,4.1,-3.1
5.963,4.1,-3.1
6.512,4.1,-3.1
6.561,4.1,-4.1
7.03,4.1,-4.1
7.045,4.1,-4.1
7.062,4.1,-4.1
7.077,5.1,-4.1
7.096,5.1,-5.1
8.094,5.1,-5.1
8.111,5.1,-5.1
8.127,5.1,-4.1
8.21,5.1,-4.1
8.266,5.1,-4.1
8.315,5.1,-4.1
8.329,5.1,-3.1
8.362,5.1,-3.1
8.396,5.1,-3.1
8.446,5.1,-3.1
8.479,5.1,-2
8.528,5.1,-2
8.595,5.1,-2
9.246,5.1,-2
9.762,5.1,-2
9.777,5.1,-2
9.794,5.1,-3.1
9.811,5.1,-3.1
9.878,5.1,-3.1
10.394,5.1,-3.1
10.409,5.1,-3.1
10.426,5.1,-3.1
10.446,4.1,-3.1
10.46,4.1,-3.1
10.477,3.1,-3.1
10.494,3.1,-3.1
10.528,2,-3.1
10.561,2,-3.1
10.578,2,-3.1
10.628,1,-3.1
10.696,1,-3.1
10.779,1,-3.1
11.412,1,-3.1
