# type=holds viewport=1280x720
t,dx,dy
0,0,0
0.346,0,0
0.362,0,1
0.379,0,1
0.396,-1,1
0.413,-1,1
0.428,-1,2
0.629,-1,2
0.677,-1,2
0.695,-1,2
1.015,-1,2
1.08,-1,2
1.145,0,2
1.211,0,2
1.297,0,2
1.347,0,2
1.397,0,2
1.43,0,2
1.447,1,2
1.481,1,2
1.495,1,3.1
1.531,1,3.1
1.563,1,3.1
1.598,1,3.1
2.047,2,3.1
2.396,2,3.1
2.429,2,3.1
2.462,2,3.1
2.831,3.1,3.1
3.18,3.1,3.1
3.213,3.1,3.1
4.147,3.1,3.1
4.181,3.1,3.1
4.211,2,3.1
4.244,2,3.1
7.43,2,3.1
7.463,2,3.1
7.528,2,3.1
9.878,3.1,3.1
9.963,3.1,3.1
10.278,3.1,3.1
10.295,3.1,3.1
10.312,3.1,3.1
10.346,3.1,3.1
11.115,3.1,4.1
11.129,3.1,4.1
11.165,4.1,4.1
11.197,4.1,4.1
11.23,4.1,4.1
11.246,4.1,4.1
11.296,5.1,4.1
11.313,5.1,3.1
11.345,5.1,3.1
11.43,5.1,3.1
11.496,5.1,3.1
11.512,5.1,3.1
11.58,5.1,3.1
11.68,6.1,3.1
