# type=holds viewport=1280x720
t,dx,dy
0,0,0
0.299,0,0
0.349,0,0
0.397,0,-1
0.414,1,-1
0.447,1,-1
0.548,1,-1
0.58,1,-1
0.615,1,-1
0.631,2,-1
0.648,2,-1
0.666,2,-2
0.682,3.1,-2
0.7,3.1,-3.1
0.716,4.1,-4.1
0.73,4.1,-5.1
0.747,5.1,-5.1
0.847,5.1,-6.1
0.865,5.1,-5.1
0.881,5.1,-5.1
0.899,5.1,-5.1
0.916,5.1,-5.1
0.948,5.1,-4.1
0.965,5.1,-4.1
0.98,5.1,-4.1
1.014,5.1,-4.1
1.032,5.1,-3.1
1.131,5.1,-3.1
1.149,4.1,-3.1
1.164,4.1,-3.1
1.182,4.1,-3.1
1.199,3.1,-3.1
1.214,3.1,-3.1
1.231,2,-3.1
1.251,1,-3.1
1.266,0,-3.1
1.297,0,-3.1
1.331,0,-3.1
1.382,0,-2
1.415,0,-2
1.449,0,-2
1.467,0,-2
1.515,0,-1
1.53,0,-1
1.566,0,-1
1.85,0,-1
3.6,0,-1
3.633,0,-1
3.7,0,-1
4.133,0,-1
4.149,0,-1
4.165,1,-1
4.231,1,-1
7.499,1,-1
7.533,1,-1
7.565,2,-1
7.599,2,-1
7.634,2,-1
7.682,2,-1
7.731,2,-1
7.749,3.1,0
7.8,3.1,0
7.814,3.1,0
7.884,3.1,0
7.915,3.1,0
7.948,3.1,0
8.017,4.1,0
8.548,4.1,0
10.55,4.1,0
