# type=holds viewport=1280x720
t,dx,dy
0,0,0
0.017,0,0
0.415,0,0
0.451,0,0
0.481,0,0
0.498,0,0
0.516,1,0
0.532,1,0
0.548,1,0
0.565,1,0
0.582,2,0
0.615,2,0
0.632,2,0
0.682,2,0
0.734,3.1,0
0.917,3.1,0
1.134,2,0
1.184,2,0
1.266,2,0
1.349,2,1
1.433,2,1
1.465,2,1
1.5,1,1
1.549,1,1
1.583,1,1
1.615,1,1
1.648,1,1
1.7,1,1
1.715,1,2
1.751,1,2
1.816,0,2
1.832,0,2
1.849,0,2
1.864,0,2
1.933,0,2
1.95,-1,2
1.984,-1,2
1.999,-1,2
2.048,-1,2
2.116,-1,3.1
2.183,-1,3.1
2.215,-1,3.1
2.248,-1,3.1
2.281,-1,4.1
2.334,-1,4.1
2.732,-1,4.1
2.801,-1,4.1
2.833,-1,4.1
2.899,0,4.1
2.935,0,4.1
2.951,0,4.1
2.982,0,4.1
3.017,0,4.1
3.031,1,4.1
3.081,1,4.1
3.766,1,4.1
3.798,2,4.1
3.815,2,4.1
3.833,2,4.1
3.849,2,4.1
3.865,3.1,4.1
3.881,3.1,4.1
3.898,4.1,4.1
3.916,4.1,4.1
3.948,4.1,4.1
4.015,5.1,4.1
4.031,5.1,4.1
4.048,5.1,4.1
4.067,6.1,4.1
4.082,6.1,4.1
4.099,6.1,4.1
4.8,6.1,4.1
4.815,6.1,3.1
4.831,6.1,3.1
4.848,6.1,3.1
4.866,6.1,2
4.882,6.1,2
5.282,6.1,2
5.299,6.1,2
5.315,5.1,2
5.333,5.1,2
5.348,4.1,2
5.367,4.1,2
6.65,4.1,2
6.684,4.1,2
6.698,4.1,2
6.715,5.1,2
6.731,5.1,2
6.783,5.1,3.1
6.817,5.1,3.1
6.848,5.1,3.1
6.884,5.1,4.1
6.899,5.1,4.1
6.915,5.1,4.1
6.931,5.1,4.1
6.966,5.1,5.1
6.983,5.1,5.1
7.032,5.1,5.1
7.082,5.1,5.1
7.132,5.1,6.1
7.217,5.1,6.1
8.016,5.1,6.1
8.082,5.1,6.1
8.148,5.1,7.1
8.218,5.1,7.1
8.264,5.1,7.1
8.432,5.1,7.1
8.449,5.1,7.1
9.716,5.1,7.1
9.75,5.1,7.1
9.815,5.1,7.1
11.015,5.1,7.1
11.049,5.1,6.1
11.548,5.1,6.1
11.564,5.1,6.1
11.581,5.1,6.1
11.601,4.1,6.1
11.616,4.1,6.1
11.9,4.1,6.1
