# type=holds viewport=1280x720
t,dx,dy
0,0,0
0.002,0,0
0.38,0,0
0.431,0,0
0.446,0,0
0.481,1,0
0.513,1,0
0.566,1,-1
1.047,1,-1
1.063,2,-1
1.08,2,-1
1.098,2,-1
1.131,2,-1
1.197,2,-1
1.398,3.1,-1
1.413,3.1,-1
1.43,4.1,-1
1.446,4.1,-1
1.482,4.1,-1
1.514,4.1,-1
1.53,5.1,0
1.565,5.1,0
1.613,5.1,0
1.63,5.1,0
1.665,5.1,0
1.996,5.1,0
2.03,4.1,1
2.047,4.1,1
2.065,4.1,1
2.08,4.1,1
2.097,4.1,1
2.132,3.1,1
2.216,3.1,1
2.646,3.1,1
2.663,3.1,1
3.799,3.1,1
3.832,3.1,1
3.866,3.1,0
3.88,3.1,0
3.897,3.1,0
3.946,3.1,0
4.767,3.1,-1
4.832,3.1,-1
5.114,3.1,-1
5.147,3.1,-1
5.18,2,-1
5.231,2,-1
5.246,2,-1
5.298,1,-1
5.68,1,-1
5.732,1,-1
5.763,0,-1
5.832,0,-1
5.915,0,-1
5.932,0,-1
6.032,0,-1
6.465,0,-1
6.482,0,0
6.497,0,0
6.867,-1,0
6.899,-1,0
6.915,-1,0
6.948,-1,0
6.997,-1,0
7.08,-1,1
7.13,-1,1
7.18,-1,1
7.199,-1,1
7.214,-2,1
7.247,-2,2
7.267,-2,2
7.296,-2,2
7.33,-2,2
7.381,-2,3.1
7.448,-2,3.1
7.513,-2,3.1
7.547,-2,3.1
7.565,-2,3.1
8.115,-2,3.1
8.214,-2,3.1
8.582,-2,3.1
8.896,-2,3.1
8.981,-2,3.1
9.081,-1,3.1
9.115,-1,3.1
9.148,-1,3.1
9.182,-1,3.1
9.23,0,3.1
9.246,0,3.1
9.298,0,3.1
9.365,0,3.1
9.748,0,3.1
9.782,1,3.1
10.599,1,3.1
10.664,1,3.1
10.697,1,3.1
10.73,1,2
11.115,1,2
11.379,1,2
11.396,1,2
11.413,1,2
11.43,0,2
11.447,0,2
11.464,-1,2
11.479,-1,2
11.498,-1,2
11.513,-2,2
11.548,-2,2
11.582,-3.1,2
11.598,-3.1,2
11.63,-3.1,2
