# type=holds viewport=1280x720
t,dx,dy
0,0,0
0.265,0,0
0.283,0,0
0.297,0,-1
0.315,1,-2
0.332,1,-3.1
0.347,1,-4.1
0.364,1,-4.1
0.38,2,-4.1
0.397,2,-4.1
0.447,2,-4.1
0.964,2,-4.1
0.997,2,-4.1
1.03,2,-4.1
1.482,2,-3.1
1.498,2,-3.1
1.514,2,-3.1
1.531,2,-2
1.548,2,-2
1.564,3.1,-1
1.581,3.1,-1
1.597,3.1,-1
1.615,3.1,0
1.632,3.1,0
1.751,3.1,0
1.763,3.1,0
1.797,3.1,0
2.333,3.1,0
2.364,3.1,0
2.398,3.1,0
2.416,3.1,1
2.447,3.1,1
2.499,3.1,1
3.031,3.1,1
3.781,3.1,1
4.249,3.1,1
4.264,3.1,1
4.281,3.1,1
4.297,3.1,1
4.314,4.1,1
4.333,4.1,1
4.349,4.1,0
4.366,4.1,0
4.399,4.1,0
5.216,4.1,0
5.266,5.1,0
5.3,5.1,0
5.349,5.1,0
5.733,5.1,0
5.752,5.1,0
5.763,5.1,0
5.78,4.1,0
5.815,4.1,0
5.832,3.1,0
5.847,3.1,0
5.88,3.1,0
5.899,3.1,0
5.933,3.1,0
5.98,2,0
6.482,2,0
7.332,2,0
8.316,2,0
8.349,2,0
8.364,2,0
8.381,2,0
8.432,2,0
8.483,2,0
9.233,3.1,0
9.333,3.1,-1
9.367,3.1,-1
9.398,3.1,-1
9.415,3.1,-1
9.467,3.1,-1
9.764,3.1,-1
9.832,3.1,-2
9.916,3.1,-2
10.213,3.1,-2
10.249,3.1,-2
10.28,3.1,-1
10.297,3.1,-1
10.313,3.1,-1
10.347,3.1,-1
10.381,3.1,0
10.766,3.1,0
10.848,3.1,0
10.882,3.1,0
11.616,3.1,0
11.648,4.1,0
11.664,4.1,0
11.681,4.1,0
11.715,4.1,0
11.731,5.1,0
11.765,5.1,0
11.815,5.1,0
11.899,5.1,0
