# type=paths viewport=1280x720 start=43,361 end=640,396 direction=to_center_from_l
t,rx,ry
0,0,0
0.003,0.0017,0
0.015,0.0034,0
0.031,0.0068,0
0.048,0.0103,0.0288
0.063,0.012,0.0288
0.081,0.012,0.0288
0.097,0.0137,0.0288
0.115,0.0137,0.0288
0.516,0.0154,0.0288
0.523,0.0171,0.0288
0.532,0.0188,0.0288
0.547,0.0222,0.0288
0.564,0.0257,0.0288
0.581,0.0291,0.0576
0.597,0.0325,0.0576
0.614,0.0325,0.0576
0.63,0.0342,0.0576
0.647,0.0359,0.0576
0.923,0.0359,0.0576
0.932,0.0393,0.0576
0.949,0.0428,0.0576
0.964,0.0547,0.1151
0.981,0.0736,0.2302
1,0.0958,0.3453
1.014,0.1266,0.4892
1.03,0.1454,0.5468
1.046,0.154,0.5468
1.282,0.154,0.5468
1.289,0.1591,0.5468
1.297,0.1677,0.5468
1.315,0.1762,0.5468
1.33,0.2036,0.6331
1.347,0.2344,0.6619
1.363,0.2789,0.7482
1.381,0.3336,0.8345
1.397,0.3884,0.8921
1.415,0.4175,0.9209
1.429,0.4328,0.9209
1.446,0.4448,0.9209
1.463,0.4517,0.9209
1.706,0.4551,0.9209
1.716,0.4636,0.9209
1.731,0.4739,0.9209
1.747,0.4979,0.9209
1.764,0.5252,0.9784
1.781,0.5783,1.0647
1.798,0.633,1.1223
1.813,0.6707,1.1223
1.83,0.6997,1.1223
1.846,0.7186,1.1223
1.863,0.7288,1.0647
1.88,0.7374,1.036
2.121,0.7408,1.036
2.133,0.7476,1.036
2.147,0.7562,1.036
2.164,0.7767,1.0647
2.182,0.8075,1.1799
2.197,0.8503,1.4101
2.214,0.8794,1.5252
2.23,0.8982,1.6115
2.247,0.9102,1.6403
2.264,0.9204,1.6403
2.281,0.9273,1.6403
2.297,0.9324,1.6403
2.315,0.9358,1.6403
2.33,0.9376,1.6403
2.347,0.9393,1.6403
2.364,0.9393,1.6403
2.392,0.9393,1.6403
2.417,0.9393,1.6403
2.424,0.941,1.6403
2.432,0.941,1.6403
2.448,0.9427,1.6115
2.463,0.9461,1.6115
2.48,0.9512,1.554
2.497,0.9581,1.4964
2.516,0.9649,1.4676
2.532,0.9718,1.4101
2.549,0.9786,1.3813
2.563,0.982,1.3525
2.58,0.9855,1.3237
2.596,0.9872,1.3237
2.613,0.9872,1.3237
2.63,0.9872,1.3237
2.646,0.9889,1.3237
2.663,0.9889,1.295
2.68,0.9906,1.295
2.698,0.9906,1.295
2.715,0.9906,1.295
2.784,0.9906,1.295
2.792,0.9923,1.295
2.8,0.9923,1.295
2.813,0.9923,1.295
2.83,0.994,1.295
2.849,0.9957,1.2662
2.865,0.9991,1.2662
2.88,1.0026,1.2662
2.896,1.0043,1.2374
2.913,1.006,1.2374
2.93,1.0077,1.2374
2.946,1.0094,1.2374
2.963,1.0094,1.2374
