# type=paths viewport=1280x720 start=1205,683 end=640,396 direction=to_center_from_br
t,rx,ry
0,0,0
0.013,0,0
0.028,-0.0018,-0.0036
0.045,-0.0036,-0.0071
0.061,-0.0054,-0.0107
0.078,-0.0054,-0.0107
0.095,-0.0072,-0.0142
0.111,-0.0072,-0.0142
0.128,-0.0072,-0.0142
0.144,-0.009,-0.0142
0.161,-0.009,-0.0142
0.177,-0.0108,-0.0142
0.194,-0.0108,-0.0142
0.211,-0.0126,-0.0142
0.228,-0.0126,-0.0142
0.244,-0.0145,-0.0142
0.261,-0.0163,-0.0142
0.277,-0.0181,-0.0178
0.294,-0.0217,-0.0178
0.31,-0.0235,-0.0178
0.328,-0.0253,-0.0178
0.344,-0.0253,-0.0178
0.361,-0.0271,-0.0213
0.854,-0.0271,-0.0213
0.863,-0.0253,-0.0213
0.878,-0.0217,-0.0213
0.895,-0.0181,-0.0213
0.912,-0.009,-0.0213
0.928,-0.0018,-0.0213
0.946,0.009,-0.0213
0.962,0.0235,-0.0142
0.978,0.0307,-0.0107
0.995,0.0361,-0.0071
1.011,0.0397,-0.0036
1.03,0.0397,0
1.221,0.0397,0
1.23,0.0452,0.0071
1.245,0.0488,0.0178
1.261,0.0632,0.0462
1.278,0.0885,0.0853
1.295,0.1192,0.1244
1.312,0.15,0.1493
1.328,0.1897,0.1671
1.346,0.2565,0.192
1.362,0.3035,0.2169
1.377,0.3469,0.2489
1.394,0.3668,0.2773
1.621,0.3668,0.2773
1.629,0.3722,0.2844
1.645,0.3776,0.2951
1.662,0.3902,0.32
1.678,0.4047,0.3449
1.695,0.421,0.3733
1.713,0.4535,0.4267
1.73,0.4842,0.4764
1.745,0.5257,0.5404
1.763,0.5547,0.5831
1.777,0.5781,0.6116
1.794,0.5908,0.6222
1.812,0.6016,0.6258
1.827,0.607,0.6258
2.046,0.6089,0.6258
2.052,0.6143,0.6258
2.064,0.6215,0.6293
2.08,0.6287,0.6329
2.095,0.645,0.6471
2.111,0.6649,0.6684
2.128,0.7028,0.704
2.144,0.7281,0.7289
2.162,0.748,0.7502
2.179,0.766,0.768
2.194,0.7841,0.7893
2.213,0.8004,0.8107
2.228,0.8166,0.832
2.244,0.8275,0.8427
2.262,0.8437,0.8604
2.279,0.8528,0.864
2.296,0.8618,0.8676
2.313,0.869,0.8676
2.327,0.878,0.8711
2.344,0.8835,0.8711
2.361,0.8889,0.8747
2.377,0.8961,0.8782
2.394,0.9015,0.8818
2.411,0.9088,0.8889
2.428,0.916,0.896
2.444,0.9232,0.9031
2.461,0.9286,0.9102
2.477,0.9322,0.9173
2.495,0.9359,0.9244
2.511,0.9431,0.9316
2.527,0.9467,0.9422
2.544,0.9521,0.9458
2.561,0.9557,0.9529
2.577,0.9593,0.96
2.595,0.963,0.9671
2.611,0.9648,0.9742
2.63,0.9666,0.9778
2.645,0.9684,0.9813
2.661,0.9684,0.9813
2.697,0.9684,0.9813
2.712,0.9702,0.9813
2.715,0.9702,0.9813
2.727,0.972,0.9813
2.744,0.9756,0.9813
2.761,0.9774,0.9813
2.777,0.9828,0.9813
2.794,0.9864,0.9849
2.812,0.9901,0.9884
2.828,0.9937,0.9991
2.845,0.9955,1.0027
2.862,0.9973,1.0098
2.878,0.9973,1.0098
2.894,0.9973,1.0098
