# type=paths viewport=1280x720 start=50,676 end=640,396 direction=to_center_from_bl
t,rx,ry
0,0,0
0.012,0.0017,-0.0036
0.023,0.0017,-0.0036
0.038,0.0035,-0.0073
0.055,0.0069,-0.0109
0.072,0.0069,-0.0146
0.088,0.0087,-0.0182
0.104,0.0104,-0.0182
0.123,0.0104,-0.0182
0.425,0.0104,-0.0182
0.429,0.0139,-0.0182
0.439,0.0156,-0.0182
0.456,0.019,-0.0182
0.472,0.0277,-0.0182
0.489,0.0381,-0.0146
0.507,0.0485,-0.0073
0.521,0.0623,0
0.538,0.0693,0.0073
0.554,0.0762,0.0146
0.765,0.0762,0.0146
0.774,0.0779,0.0182
0.79,0.0814,0.0255
0.806,0.0883,0.0328
0.824,0.0987,0.0438
0.838,0.1108,0.0547
0.855,0.1229,0.0693
0.871,0.1351,0.0802
0.888,0.1489,0.0948
0.904,0.1732,0.1203
0.923,0.1922,0.1459
0.939,0.2113,0.1641
0.954,0.2286,0.1823
0.971,0.239,0.1969
0.987,0.2511,0.2078
1.005,0.2545,0.2151
1.225,0.2545,0.2151
1.229,0.2545,0.2224
1.241,0.258,0.2334
1.258,0.2632,0.2443
1.273,0.2753,0.2662
1.29,0.2909,0.2954
1.304,0.3394,0.3756
1.321,0.374,0.4266
1.337,0.4121,0.4777
1.354,0.4468,0.5214
1.372,0.471,0.5469
1.389,0.497,0.5761
1.404,0.5108,0.5871
1.422,0.5264,0.6016
1.438,0.5351,0.6089
1.454,0.5403,0.6162
1.724,0.5403,0.6162
1.732,0.5455,0.6199
1.74,0.5506,0.6235
1.755,0.5576,0.6308
1.772,0.5784,0.6527
1.79,0.6095,0.6819
1.804,0.6424,0.7183
1.821,0.6771,0.7584
1.838,0.7013,0.7876
1.855,0.7307,0.8204
1.873,0.755,0.8496
1.888,0.7827,0.8788
1.904,0.7913,0.8897
1.921,0.8017,0.897
1.937,0.8087,0.9006
1.956,0.8104,0.9006
2.181,0.8104,0.9006
2.192,0.8139,0.9006
2.207,0.819,0.9043
2.221,0.8312,0.9116
2.238,0.845,0.9225
2.256,0.8693,0.9371
2.271,0.9004,0.959
2.289,0.9177,0.9699
2.305,0.9264,0.9772
2.321,0.9368,0.9845
2.337,0.9455,0.9881
2.354,0.9506,0.9918
2.371,0.9558,0.9954
2.388,0.9593,0.9991
2.404,0.9628,0.9991
2.422,0.9662,1.0027
2.438,0.9697,1.0027
2.455,0.9732,1.0064
2.472,0.9766,1.0064
2.489,0.9784,1.0064
2.504,0.9801,1.0064
2.521,0.9835,1.0064
2.537,0.987,1.0064
2.556,0.9887,1.0064
2.571,0.9939,1.0064
2.588,0.9974,1.0064
2.604,1.0009,1.0064
2.622,1.0043,1.0064
2.638,1.0078,1.0064
2.654,1.0113,1.0064
2.671,1.0113,1.0064
2.688,1.013,1.0064
2.763,1.013,1.0064
2.779,1.013,1.01
