# type=paths viewport=1280x720 start=53,34 end=640,576 direction=to_lower_from_ul
t,rx,ry
0,0,0
0.015,0.0017,0
0.017,0.0017,0
0.026,0.0035,0
0.042,0.0052,0
0.059,0.007,0
0.077,0.007,0
0.453,0.0087,0
0.461,0.0104,0
0.477,0.0122,0
0.493,0.0191,0.0038
0.512,0.0261,0.0075
0.527,0.0366,0.0151
0.544,0.0505,0.0245
0.56,0.0644,0.0358
0.578,0.0783,0.049
0.593,0.094,0.0621
0.61,0.0975,0.0659
0.853,0.0975,0.0678
0.864,0.101,0.0716
0.877,0.1062,0.0791
0.894,0.1201,0.0979
0.911,0.1636,0.1525
0.927,0.2367,0.2392
0.944,0.3116,0.3277
0.96,0.3603,0.3804
0.977,0.423,0.4388
0.993,0.4595,0.467
1.269,0.4595,0.4708
1.28,0.4648,0.4802
1.295,0.4752,0.4934
1.312,0.5065,0.5292
1.329,0.5553,0.5876
1.345,0.6057,0.6384
1.361,0.6736,0.7062
1.376,0.7119,0.742
1.392,0.7311,0.7571
1.409,0.745,0.7665
1.685,0.7485,0.7665
1.697,0.7554,0.774
1.712,0.7641,0.7815
1.729,0.8007,0.8173
1.743,0.879,0.8927
1.76,0.9312,0.9454
1.778,0.9626,0.9774
1.793,0.9904,1.0019
1.809,1.0026,1.0113
1.826,1.0148,1.0188
1.845,1.0218,1.0226
1.86,1.0235,1.0245
1.876,1.027,1.0245
1.893,1.027,1.0245
1.91,1.0287,1.0245
1.927,1.0287,1.0245
1.943,1.0287,1.0245
1.972,1.0287,1.0245
