# type=paths viewport=1280x720 start=52,33 end=640,396 direction=to_center_from_ul
t,rx,ry
0,0,0
0.013,0.0017,0
0.014,0.0017,0
0.028,0.0017,0
0.046,0.0035,0
0.062,0.007,0
0.077,0.0104,0
0.093,0.0122,0
0.11,0.0156,0
0.127,0.0156,0
0.145,0.0174,0
0.16,0.0174,0
0.177,0.0174,0
0.497,0.0174,0
0.502,0.0191,0.0028
0.514,0.0191,0.0028
0.527,0.0209,0.0028
0.544,0.0226,0.0056
0.561,0.0243,0.0056
0.577,0.0243,0.0084
0.593,0.0261,0.0084
0.61,0.0261,0.0084
0.678,0.0278,0.0084
0.685,0.0278,0.0084
0.694,0.0278,0.0084
0.711,0.0278,0.0084
0.727,0.0295,0.0112
0.745,0.0313,0.0112
0.762,0.0348,0.0141
0.777,0.04,0.0169
0.793,0.0452,0.0197
0.812,0.0504,0.0253
0.826,0.0573,0.0309
0.844,0.0626,0.0365
0.86,0.066,0.0394
0.878,0.0695,0.0422
0.894,0.0712,0.0422
0.91,0.0712,0.045
0.928,0.073,0.045
0.944,0.0765,0.0506
0.96,0.0834,0.0618
0.978,0.0956,0.0815
0.994,0.1025,0.0871
1.01,0.1095,0.0984
1.026,0.1129,0.1012
1.043,0.1147,0.1012
1.062,0.1147,0.104
1.077,0.1182,0.1096
1.093,0.1286,0.1349
1.111,0.1512,0.1827
1.127,0.1807,0.2474
1.144,0.2016,0.2839
1.16,0.2155,0.312
1.179,0.2346,0.3373
1.195,0.2381,0.3373
1.496,0.2398,0.3373
1.501,0.2485,0.3373
1.512,0.2572,0.3373
1.529,0.2676,0.3401
1.544,0.2954,0.3514
1.562,0.4083,0.4048
1.577,0.4605,0.4413
1.593,0.5161,0.4863
1.613,0.5474,0.5116
1.627,0.5752,0.5369
1.644,0.5873,0.5509
1.66,0.596,0.5594
1.677,0.6012,0.5622
1.695,0.6012,0.5622
1.917,0.603,0.5622
1.93,0.6082,0.5678
1.946,0.6134,0.5734
1.962,0.6481,0.6015
1.978,0.6898,0.6437
1.995,0.735,0.6971
2.01,0.7663,0.7365
2.026,0.7976,0.7758
2.043,0.8219,0.8011
2.06,0.8341,0.8124
2.077,0.8427,0.8208
2.093,0.848,0.8236
2.33,0.8514,0.8236
2.332,0.8566,0.8264
2.344,0.8653,0.8349
2.36,0.8844,0.8517
2.377,0.9018,0.8686
2.393,0.9296,0.8995
2.41,0.9487,0.9192
2.426,0.9592,0.9304
2.443,0.9679,0.9389
2.462,0.9731,0.9445
2.477,0.9765,0.9473
2.494,0.9783,0.9473
2.511,0.98,0.9501
2.527,0.98,0.9501
2.543,0.98,0.9501
2.572,0.98,0.9501
2.644,0.98,0.9501
2.652,0.98,0.9529
2.663,0.9818,0.9529
2.677,0.9818,0.9529
2.694,0.9835,0.9585
2.711,0.9835,0.9642
2.727,0.987,0.9698
2.744,0.9887,0.9754
2.762,0.9904,0.9754
2.777,0.9922,0.9782
2.793,0.9922,0.9782
2.812,0.9939,0.9782
2.895,0.9939,0.9782
