# type=paths viewport=1280x720 start=44,43 end=640,396 direction=to_center_from_ul
t,rx,ry
0,0,0
0.003,0,0
0.016,0.0017,0
0.031,0.0017,0
0.045,0.0017,0
0.062,0.0034,0
0.079,0.0034,0
0.467,0.0034,0
0.474,0.0051,0
0.482,0.0051,-0.0029
0.497,0.0051,-0.0029
0.512,0.0069,-0.0058
0.528,0.0069,-0.0058
0.545,0.0086,-0.0087
0.563,0.0086,-0.0087
0.578,0.0086,-0.0087
0.603,0.0086,-0.0087
0.65,0.0086,-0.0116
1.083,0.0086,-0.0087
1.091,0.0086,-0.0087
1.098,0.0103,-0.0087
1.114,0.0103,-0.0087
1.13,0.0137,-0.0058
1.147,0.0189,-0.0029
1.164,0.0223,0
1.18,0.0274,0.0029
1.197,0.0308,0.0029
1.211,0.0326,0.0058
1.228,0.0326,0.0058
1.245,0.0343,0.0058
1.29,0.0343,0.0058
1.306,0.0343,0.0058
1.314,0.0343,0.0058
1.329,0.036,0.0058
1.345,0.036,0.0087
1.364,0.036,0.0087
1.378,0.0377,0.0087
1.396,0.0394,0.0116
1.413,0.0411,0.0116
1.429,0.0446,0.0116
1.445,0.0463,0.0145
1.462,0.048,0.0145
1.478,0.0514,0.0174
1.495,0.0566,0.0202
1.511,0.0634,0.0289
1.529,0.0754,0.0434
1.546,0.1114,0.0839
1.561,0.1405,0.1244
1.578,0.1817,0.1793
1.594,0.2057,0.2111
1.874,0.2074,0.214
1.882,0.2142,0.2227
1.897,0.2228,0.2314
1.912,0.2605,0.2777
1.929,0.329,0.35
1.945,0.389,0.4078
1.962,0.4524,0.4714
1.979,0.4867,0.5004
1.996,0.5159,0.5293
2.012,0.5313,0.5409
2.029,0.5467,0.5611
2.045,0.5501,0.5669
2.274,0.5518,0.5669
2.281,0.5587,0.5756
2.297,0.5673,0.5813
2.313,0.5913,0.6103
2.329,0.6375,0.6739
2.345,0.7112,0.7809
2.362,0.7575,0.8648
2.379,0.7918,0.9255
2.396,0.8158,0.9631
2.413,0.8312,0.9892
2.429,0.838,0.9978
2.704,0.8415,0.9978
2.712,0.8466,0.992
2.729,0.8552,0.9892
2.745,0.8689,0.9863
2.763,0.8929,0.9834
2.779,0.9152,0.9834
2.796,0.9409,0.9834
2.812,0.9632,0.9863
2.829,0.9751,0.9892
2.845,0.9803,0.9892
2.862,0.9837,0.9892
2.878,0.9854,0.9892
2.895,0.9854,0.9892
2.911,0.9854,0.9892
2.979,0.9854,0.9892
3.18,0.9871,0.9892
3.184,0.9871,0.9892
3.199,0.9889,0.9892
3.213,0.9923,0.992
3.23,0.9957,0.992
3.245,0.9991,0.992
3.262,1.0009,0.992
3.278,1.0026,0.992
3.295,1.0043,0.992
