# type=paths viewport=1280x720 start=1192,60 end=640,396 direction=to_center_from_ur
t,rx,ry
0,0,0
0.017,-0.0222,-0.0091
0.035,-0.0407,-0.0152
0.051,-0.0518,-0.0213
0.068,-0.0629,-0.0274
0.084,-0.0703,-0.0335
0.101,-0.0759,-0.0365
0.118,-0.0851,-0.0395
0.134,-0.087,-0.0426
0.151,-0.0888,-0.0426
0.167,-0.0907,-0.0456
0.184,-0.0907,-0.0456
0.335,-0.0907,-0.0456
0.338,-0.0907,-0.0456
0.353,-0.0888,-0.0456
0.367,-0.0851,-0.0456
0.384,-0.0814,-0.0456
0.401,-0.0759,-0.0517
0.419,-0.0722,-0.0578
0.434,-0.0685,-0.0608
0.451,-0.0666,-0.0639
0.467,-0.0666,-0.0669
0.485,-0.0666,-0.0669
0.501,-0.0648,-0.0669
0.538,-0.0648,-0.0669
0.674,-0.0648,-0.07
0.687,-0.0648,-0.07
0.702,-0.0629,-0.073
0.719,-0.0574,-0.0821
0.736,-0.0537,-0.0913
0.751,-0.0518,-0.0943
0.767,-0.0518,-0.0973
0.784,-0.05,-0.0973
0.802,-0.05,-0.0973
0.858,-0.05,-0.0973
0.875,-0.05,-0.0973
0.886,-0.0481,-0.0973
0.902,-0.0481,-0.0943
0.918,-0.0463,-0.0913
0.933,-0.0444,-0.0882
0.951,-0.0444,-0.0882
0.968,-0.0444,-0.0852
1.153,-0.0444,-0.0852
1.161,-0.0444,-0.0852
1.169,-0.0444,-0.0852
1.185,-0.0463,-0.0821
1.203,-0.0463,-0.076
1.218,-0.05,-0.07
1.234,-0.05,-0.0639
1.251,-0.0518,-0.0608
1.268,-0.0518,-0.0578
1.286,-0.0518,-0.0548
1.302,-0.0518,-0.0548
1.318,-0.0518,-0.0548
1.334,-0.0481,-0.0517
1.353,-0.0407,-0.0487
1.367,-0.0204,-0.0426
1.385,0.0093,-0.0304
1.401,0.074,-0.003
1.418,0.1443,0.0304
1.436,0.198,0.0639
1.451,0.2572,0.1065
1.468,0.2886,0.1278
1.484,0.3145,0.149
1.5,0.3219,0.1582
1.729,0.3238,0.1582
1.737,0.3312,0.1673
1.753,0.3404,0.1795
1.769,0.3645,0.2129
1.784,0.4052,0.2738
1.801,0.4662,0.362
1.818,0.531,0.4654
1.835,0.5772,0.5414
1.851,0.6309,0.6297
1.867,0.6586,0.6722
1.885,0.6753,0.7027
2.112,0.679,0.7027
2.12,0.6846,0.7057
2.136,0.6901,0.7118
2.152,0.7031,0.724
2.169,0.7234,0.7392
2.185,0.7475,0.7574
2.201,0.7752,0.7757
2.218,0.803,0.7909
2.235,0.827,0.8061
2.251,0.8474,0.8152
2.267,0.8733,0.8274
2.284,0.8825,0.8365
2.3,0.8936,0.8426
2.317,0.901,0.8517
2.336,0.9047,0.8548
2.351,0.9066,0.8578
2.367,0.9084,0.8608
2.385,0.9103,0.8639
2.401,0.9121,0.8669
2.42,0.9158,0.873
2.435,0.9195,0.8821
2.451,0.9214,0.8913
2.467,0.9269,0.9004
2.486,0.9306,0.9065
2.501,0.9325,0.9125
2.517,0.9362,0.9217
2.534,0.9399,0.9308
2.551,0.9436,0.9399
2.568,0.9491,0.949
2.585,0.951,0.9521
2.601,0.9528,0.9551
2.618,0.9547,0.9582
2.634,0.9547,0.9582
2.653,0.9565,0.9612
2.668,0.9621,0.9673
2.684,0.9658,0.9734
2.7,0.9676,0.9764
2.718,0.9695,0.9795
2.735,0.9713,0.9795
2.904,0.9713,0.9795
2.912,0.9732,0.9795
2.92,0.9732,0.9795
2.936,0.975,0.9825
2.953,0.9787,0.9856
2.969,0.9824,0.9886
2.986,0.9843,0.9916
3.002,0.9843,0.9947
3.018,0.988,0.9947
3.035,0.9898,0.9977
3.051,0.9917,1.0038
