# type=paths viewport=1280x720 start=40,42 end=640,576 direction=to_lower_from_ul
t,rx,ry
0,0,0
0.016,0,0
0.034,-0.0017,0
0.05,-0.0017,0
0.067,-0.0017,-0.0019
0.086,-0.0017,-0.0019
0.127,-0.0017,-0.0019
0.134,-0.0017,-0.0019
0.151,-0.0017,-0.0038
0.168,0.0051,-0.0057
0.185,0.0136,-0.0096
0.201,0.0238,-0.0153
0.217,0.034,-0.0191
0.234,0.0426,-0.0229
0.249,0.0511,-0.0268
0.266,0.0528,-0.0268
0.284,0.0528,-0.0268
0.318,0.0528,-0.0268
0.326,0.0511,-0.0268
0.334,0.0511,-0.0249
0.35,0.0511,-0.0249
0.366,0.0511,-0.0249
0.622,0.0511,-0.0249
0.634,0.0511,-0.021
0.651,0.0511,-0.0096
0.667,0.0545,0.0076
0.683,0.0579,0.0306
0.699,0.0596,0.0459
0.716,0.0613,0.0574
0.734,0.063,0.0612
0.75,0.063,0.065
0.774,0.063,0.0631
0.784,0.063,0.0574
0.8,0.063,0.0554
0.974,0.063,0.0554
0.986,0.0681,0.0612
1.001,0.0732,0.0669
1.018,0.0902,0.0841
1.034,0.1226,0.1128
1.049,0.2213,0.2027
1.066,0.2979,0.2772
1.083,0.3387,0.3193
1.099,0.3677,0.348
1.116,0.383,0.3633
1.37,0.3847,0.3633
1.373,0.3898,0.3652
1.387,0.3966,0.3671
1.401,0.4051,0.3728
1.418,0.4357,0.3939
1.436,0.526,0.457
1.451,0.5753,0.4952
1.466,0.6315,0.5411
1.483,0.6638,0.5641
1.499,0.6945,0.5832
1.518,0.7098,0.5908
1.532,0.72,0.5966
1.549,0.7268,0.5985
1.757,0.7268,0.5985
1.768,0.7268,0.6099
1.784,0.7302,0.6195
1.8,0.7438,0.6424
1.816,0.7728,0.6922
1.833,0.8034,0.7419
1.85,0.8443,0.805
1.865,0.8681,0.8413
1.883,0.8834,0.8642
1.899,0.897,0.8834
1.917,0.9004,0.8872
2.188,0.9021,0.8872
2.189,0.9072,0.891
2.202,0.9106,0.8948
2.217,0.9191,0.9025
2.233,0.9277,0.914
2.249,0.9345,0.9216
2.267,0.9413,0.9312
2.285,0.9464,0.9388
2.3,0.9498,0.9426
2.317,0.9532,0.9465
2.334,0.96,0.9522
2.35,0.9668,0.9579
2.366,0.9753,0.9656
2.385,0.9821,0.9732
2.399,0.9923,0.9828
2.416,0.9957,0.9866
2.433,0.9974,0.9885
2.449,0.9991,0.9904
2.466,0.9991,0.9904
2.484,0.9991,0.9904
