# type=paths viewport=1280x720 start=1213,25 end=640,396 direction=to_center_from_ur
t,rx,ry
0,0,0
0.006,-0.0018,0
0.015,-0.0036,0.0027
0.031,-0.0054,0.0055
0.047,-0.0107,0.0165
0.062,-0.0125,0.0247
0.079,-0.0161,0.033
0.096,-0.0196,0.0385
0.112,-0.0196,0.0412
0.129,-0.0196,0.044
0.146,-0.0196,0.044
0.254,-0.0196,0.044
0.264,-0.0161,0.0467
0.28,-0.0125,0.0495
0.296,-0.0036,0.0577
0.313,0.0071,0.0632
0.33,0.0196,0.0715
0.345,0.025,0.0742
0.362,0.0268,0.077
0.379,0.0268,0.077
0.396,0.0285,0.0797
0.412,0.0303,0.0797
0.429,0.0321,0.0797
0.446,0.0339,0.0797
0.463,0.0339,0.0797
0.48,0.0339,0.0797
0.513,0.0339,0.0797
0.529,0.0357,0.0797
0.545,0.0375,0.0825
0.562,0.041,0.0825
0.581,0.0464,0.0852
0.595,0.0535,0.088
0.612,0.0607,0.0907
0.63,0.066,0.0935
0.646,0.0678,0.0935
0.663,0.0696,0.0935
0.933,0.0696,0.0935
0.946,0.0731,0.0935
0.963,0.0856,0.099
0.979,0.0981,0.11
0.997,0.116,0.1237
1.014,0.1463,0.1512
1.031,0.2105,0.2089
1.046,0.2551,0.2557
1.063,0.3104,0.3079
1.079,0.3426,0.3381
1.096,0.364,0.3519
1.112,0.3907,0.3684
1.333,0.3925,0.3684
1.34,0.3996,0.3684
1.349,0.4068,0.3711
1.363,0.4157,0.3794
1.379,0.4335,0.3904
1.397,0.4603,0.4151
1.414,0.5013,0.4509
1.431,0.5477,0.4948
1.447,0.6012,0.5471
1.462,0.6262,0.5718
1.757,0.6262,0.5718
1.765,0.6316,0.5718
1.78,0.6369,0.5718
1.797,0.653,0.5718
1.813,0.6798,0.5801
1.831,0.7244,0.6103
1.848,0.7761,0.6543
1.864,0.826,0.7065
1.881,0.8724,0.7588
1.896,0.9135,0.8082
1.912,0.9313,0.8302
1.929,0.9474,0.8495
1.945,0.9563,0.8605
1.962,0.9599,0.8632
1.979,0.9616,0.866
1.996,0.9634,0.8687
2.013,0.9634,0.8687
2.029,0.9634,0.8715
2.046,0.9652,0.8742
2.063,0.967,0.877
2.079,0.9688,0.8797
2.095,0.9723,0.888
2.113,0.9759,0.8935
2.129,0.9795,0.9045
2.145,0.9831,0.9182
2.162,0.9866,0.932
2.179,0.992,0.9485
2.196,0.9955,0.9567
2.213,0.9991,0.9677
2.23,1.0027,0.9732
2.246,1.0027,0.9759
2.263,1.0027,0.9759
2.28,1.0027,0.9759
2.296,1.0027,0.9787
