# type=paths viewport=1280x720 start=38,53 end=640,396 direction=to_center_from_ul
t,rx,ry
0,0,0
0.003,0,0
0.021,0.0017,0.003
0.032,0.0034,0.003
0.047,0.0068,0.003
0.063,0.0102,0.006
0.08,0.0136,0.006
0.097,0.0153,0.006
0.114,0.0153,0.006
0.13,0.017,0.006
0.4,0.017,0.006
0.402,0.0187,0.006
0.416,0.0204,0.006
0.43,0.0221,0.006
0.446,0.0237,0.006
0.462,0.0254,0.006
0.48,0.0254,0.006
0.496,0.0271,0.006
0.683,0.0271,0.003
0.699,0.0271,0.003
0.715,0.0271,0
0.73,0.0254,-0.003
0.747,0.0254,-0.003
0.763,0.0254,-0.006
0.78,0.0254,-0.006
0.917,0.0254,-0.006
0.922,0.0271,-0.003
0.931,0.0288,-0.003
0.947,0.0305,-0.003
0.963,0.0322,0
0.98,0.0373,0.003
0.998,0.0424,0.003
1.013,0.0475,0.006
1.03,0.0543,0.006
1.047,0.0577,0.006
1.064,0.0594,0.006
1.08,0.0594,0.006
1.397,0.0594,0.006
1.401,0.0611,0.0089
1.414,0.0645,0.0119
1.43,0.0729,0.0208
1.447,0.0916,0.0447
1.463,0.1187,0.0774
1.48,0.1747,0.1519
1.498,0.2154,0.2025
1.514,0.2646,0.2561
1.53,0.2952,0.28
1.547,0.3274,0.3008
1.563,0.3511,0.3038
1.58,0.3528,0.3038
1.849,0.3562,0.3038
1.857,0.3613,0.3038
1.865,0.3715,0.3098
1.882,0.3834,0.3187
1.896,0.4224,0.3544
1.916,0.4902,0.4229
1.931,0.5479,0.4855
1.948,0.6124,0.551
1.963,0.6429,0.5867
1.981,0.6751,0.6195
1.998,0.6921,0.6374
2.014,0.7091,0.6582
2.031,0.7108,0.6612
2.273,0.7125,0.6612
2.28,0.7159,0.6642
2.298,0.7226,0.6731
2.313,0.743,0.6969
2.33,0.7871,0.7535
2.347,0.8227,0.7982
2.363,0.8651,0.8548
2.38,0.8855,0.8846
2.397,0.9025,0.9054
2.413,0.916,0.9263
2.429,0.9211,0.9293
2.446,0.9228,0.9322
2.464,0.9228,0.9352
2.48,0.9228,0.9352
2.496,0.9228,0.9352
2.513,0.9245,0.9352
2.53,0.9245,0.9382
2.547,0.9245,0.9382
2.563,0.9245,0.9382
2.58,0.9279,0.9442
2.598,0.9364,0.959
2.613,0.9432,0.971
2.629,0.95,0.9829
2.647,0.9584,0.9918
2.663,0.9635,0.9978
2.68,0.9686,1.0007
2.696,0.9737,1.0007
2.714,0.9771,1.0007
2.729,0.9805,1.0007
2.747,0.9822,1.0007
2.763,0.9856,1.0007
2.78,0.989,1.0007
2.797,0.9907,1.0037
2.813,0.9907,1.0037
3.057,0.9907,1.0037
3.066,0.9924,1.0037
3.082,0.9941,1.0037
3.099,0.9975,1.0037
