# type=idles viewport=1280x720
t,dx,dy
0.218,0,0
0.303,0,-1
0.375,0,-1
0.543,1,-1
0.559,1,-1
0.603,1,-1
0.695,1,-1
0.704,2,-1
0.719,2,-1
0.735,2,-1
0.753,3.1,-1
0.768,3.1,-1
0.786,4.1,-1
0.803,4.1,-1
0.959,4.1,-1
0.975,4.1,-1
1.299,5.1,-1
1.303,5.1,-1
1.323,5.1,-1
1.338,6.1,-1
1.356,6.1,-2
1.369,6.1,-2
1.386,6.1,-2
1.401,6.1,-2
1.419,7.2,-2
1.436,7.2,-3.1
1.452,7.2,-3.1
1.469,8.2,-3.1
1.484,8.2,-3.1
2.158,7.2,-3.1
2.187,7.2,-3.1
2.202,7.2,-3.1
2.214,7.2,-3.1
2.246,6.1,-3.1
2.262,6.1,-3.1
2.278,6.1,-3.1
2.325,6.1,-3.1
2.813,6.1,-3.1
2.861,6.1,-4.1
2.87,6.1,-4.1
2.885,6.1,-4.1
2.901,5.1,-4.1
2.92,5.1,-5.1
2.935,5.1,-5.1
