# type=idles viewport=1280x720
t,dx,dy
0.135,0,0
0.368,0,0
0.399,0,0
0.415,0,-1
0.431,-1,-1
0.456,-1,-1
0.479,-1,-1
0.567,-1,-1
0.841,-1,-2
0.86,-1,-2
0.874,-1,-3.1
0.897,-1,-4.1
0.907,-2,-6.1
0.924,-2,-7.1
0.94,-2,-7.1
0.957,-2,-8.2
0.973,-2,-8.2
0.99,-2,-8.2
1.007,-2,-9.2
1.026,-2,-9.2
1.046,-2,-9.2
1.075,-1,-9.2
1.11,-1,-9.2
1.192,-1,-9.2
1.231,-1,-8.2
1.511,-1,-8.2
1.534,-1,-8.2
1.567,-1,-8.2
1.583,-1,-7.1
1.615,-1,-7.1
1.64,-1,-7.1
1.658,-1,-7.1
1.674,-1,-7.1
1.691,-1,-7.1
1.707,-1,-7.1
1.725,-1,-6.1
1.741,-1,-6.1
1.757,-1,-6.1
1.775,-1,-5.1
1.814,-1,-5.1
1.857,-1,-5.1
1.889,-1,-5.1
2.393,0,-5.1
2.41,0,-5.1
2.424,0,-5.1
2.448,0,-5.1
2.458,1,-5.1
2.472,1,-5.1
2.489,1,-5.1
2.507,1,-5.1
