# type=idles viewport=1280x720
t,dx,dy
0.015,0,0
0.032,0,0
0.387,0,0
0.414,0,0
0.459,1,0
0.506,1,0
0.538,1,0
0.565,1,0
0.611,2,0
0.923,2,0
0.935,2,0
0.948,2,0
0.972,3.1,-1
0.984,3.1,-1
0.999,4.1,-1
1.014,4.1,-1
1.042,4.1,-2
1.451,4.1,-2
1.474,4.1,-2
1.482,4.1,-2
1.5,4.1,-3.1
1.522,3.1,-3.1
1.533,3.1,-3.1
1.55,3.1,-3.1
1.565,3.1,-4.1
1.618,3.1,-4.1
1.674,3.1,-4.1
1.949,2,-4.1
1.953,2,-4.1
1.969,2,-4.1
1.99,2,-4.1
2.001,2,-5.1
2.017,2,-5.1
2.033,2,-5.1
2.058,1,-5.1
2.377,1,-5.1
2.467,2,-5.1
2.497,2,-5.1
2.548,2,-5.1
2.593,2,-5.1
2.618,2,-5.1
2.634,3.1,-5.1
2.657,3.1,-5.1
2.684,3.1,-5.1
2.705,3.1,-5.1
2.737,4.1,-5.1
2.776,4.1,-5.1
2.809,4.1,-5.1
2.835,4.1,-5.1
2.851,5.1,-5.1
2.866,5.1,-5.1
2.885,5.1,-5.1
2.9,5.1,-5.1
2.918,6.1,-5.1
2.933,6.1,-5.1
3.116,6.1,-5.1
3.12,6.1,-5.1
3.134,7.2,-5.1
3.155,7.2,-5.1
3.164,8.2,-6.1
3.182,8.2,-6.1
3.199,8.2,-6.1
3.215,9.2,-6.1
