# type=idles viewport=1280x720
t,dx,dy
0.25,0,0
0.259,0,0
0.276,-1,0
0.292,-1,1
0.309,-1,2.1
0.324,-2.1,3.1
0.342,-2.1,3.1
0.36,-3.1,4.2
0.375,-3.1,4.2
0.393,-3.1,5.2
0.409,-3.1,5.2
0.425,-3.1,5.2
0.442,-3.1,5.2
0.494,-3.1,5.2
0.513,-4.2,6.3
0.529,-4.2,6.3
0.543,-4.2,6.3
0.56,-4.2,6.3
0.575,-4.2,7.3
0.594,-5.2,7.3
0.61,-5.2,7.3
0.625,-5.2,7.3
0.642,-6.3,8.4
0.659,-6.3,8.4
0.677,-6.3,9.4
0.692,-7.3,9.4
0.708,-7.3,9.4
0.801,-8.4,9.4
0.836,-8.4,10.5
0.848,-8.4,10.5
0.86,-8.4,10.5
0.876,-8.4,10.5
0.892,-8.4,11.5
0.909,-9.4,11.5
0.925,-9.4,12.6
0.941,-9.4,12.6
0.958,-10.5,13.6
0.976,-10.5,13.6
0.991,-10.5,13.6
1.008,-10.5,13.6
1.066,-10.5,14.7
1.077,-10.5,14.7
1.092,-10.5,14.7
1.11,-10.5,14.7
1.126,-11.5,14.7
1.142,-11.5,14.7
1.158,-11.5,15.7
1.175,-11.5,15.7
1.192,-11.5,15.7
1.212,-12.6,16.8
1.226,-12.6,16.8
1.243,-12.6,17.8
1.259,-12.6,18.9
1.277,-13.6,18.9
1.292,-13.6,19.9
1.308,-13.6,19.9
1.325,-13.6,21
1.342,-13.6,21
1.359,-13.6,21
1.497,-13.6,21
1.505,-12.6,21
1.512,-12.6,21
1.526,-12.6,21
1.543,-11.5,21
1.56,-10.5,21
1.576,-9.4,21
1.593,-7.3,21
1.61,-6.3,21
1.626,-5.2,21
1.643,-4.2,21
1.66,-4.2,21
1.676,-3.1,21
1.693,-3.1,21
1.863,-3.1,21
1.864,-3.1,21
1.878,-2.1,21
1.893,-2.1,21
1.908,-1,21
1.925,-1,21
1.942,0,21
1.959,0,21
2.216,0,19.9
2.233,0,19.9
2.242,1,19.9
2.259,1,19.9
2.276,2.1,18.9
2.292,2.1,18.9
2.429,2.1,18.9
2.433,1,18.9
2.444,1,18.9
2.46,0,19.9
2.476,-2.1,21
2.493,-3.1,22
2.51,-4.2,22
2.525,-4.2,23.1
2.543,-4.2,23.1
2.665,-4.2,23.1
2.677,-4.2,22
2.679,-4.2,22
2.693,-3.1,22
2.71,-3.1,22
2.726,-3.1,22
2.861,-3.1,22
2.863,-4.2,22
2.877,-4.2,22
2.893,-5.2,24.1
2.908,-6.3,25.2
2.924,-7.3,26.2
2.942,-8.4,26.2
2.96,-8.4,27.2
2.975,-8.4,27.2
