# type=idles viewport=1280x720
t,dx,dy
0.061,0,0
0.069,1,0
0.085,1,0
0.108,1,0
0.14,1,0
0.208,2,0
0.26,2,0
0.334,2,0
0.363,2,-1
0.379,2,-1
0.42,2,-1
0.444,3.1,-1
0.475,3.1,-1
0.494,3.1,-1
0.508,3.1,-1
0.531,3.1,-1
0.539,3.1,-1
0.563,3.1,-2
0.573,4.1,-2
0.621,4.1,-2
0.683,4.1,-2
0.731,4.1,-2
0.74,4.1,-2
0.756,4.1,-3.1
0.778,5.1,-3.1
0.791,5.1,-3.1
0.808,5.1,-3.1
0.822,5.1,-4.1
0.84,6.1,-4.1
0.856,6.1,-5.1
0.873,6.1,-5.1
0.894,6.1,-5.1
0.908,6.1,-5.1
0.946,6.1,-6.1
0.996,6.1,-6.1
1.006,6.1,-6.1
1.01,6.1,-6.1
1.023,5.1,-6.1
1.041,5.1,-6.1
1.056,4.1,-6.1
1.075,3.1,-6.1
1.091,2,-6.1
1.106,2,-6.1
1.123,1,-6.1
1.139,0,-6.1
1.158,0,-6.1
1.175,-1,-6.1
1.189,-1,-6.1
1.206,-1,-6.1
1.227,-2,-6.1
1.348,-2,-6.1
