# type=idles viewport=1280x720
t,dx,dy
0.32,0,0
0.332,0,1
0.345,-1,1
0.361,-2.1,3.1
0.378,-4.2,5.2
0.395,-6.3,8.4
0.411,-8.4,9.4
0.426,-9.4,11.5
0.444,-10.5,12.6
0.46,-11.5,13.6
0.477,-11.5,13.6
0.493,-12.6,14.7
0.51,-12.6,14.7
0.526,-12.6,14.7
0.67,-12.6,14.7
0.678,-12.6,15.7
0.694,-12.6,16.8
0.71,-13.6,17.8
0.727,-14.7,18.9
0.746,-14.7,19.9
0.76,-15.7,22
0.778,-15.7,22
0.797,-15.7,22
1.031,-15.7,22
1.038,-13.6,22
1.046,-12.6,23.1
1.061,-10.5,24.1
1.078,-5.2,27.2
1.094,0,31.4
1.11,3.1,35.6
1.127,9.4,43
1.144,10.5,45.1
1.16,12.6,48.2
1.177,13.6,50.3
1.194,14.7,52.4
1.21,14.7,53.5
1.226,14.7,54.5
1.245,14.7,54.5
2.363,14.7,54.5
2.378,14.7,54.5
2.381,14.7,54.5
2.394,13.6,55.5
2.41,13.6,55.5
2.427,13.6,55.5
2.443,12.6,55.5
2.481,12.6,55.5
2.606,13.6,55.5
2.613,13.6,55.5
2.627,14.7,54.5
2.643,17.8,53.5
2.66,18.9,53.5
2.677,21,52.4
2.696,23.1,51.4
2.711,24.1,50.3
2.727,25.2,50.3
2.744,26.2,49.3
2.76,27.3,48.2
2.777,27.3,48.2
2.794,27.3,48.2
2.81,28.3,47.2
2.826,28.3,47.2
2.844,28.3,46.1
2.861,28.3,46.1
2.96,29.4,46.1
2.965,29.4,46.1
2.977,29.4,46.1
2.993,30.4,45.1
