# type=idles viewport=1280x720
t,dx,dy
0.004,0,0
0.025,1,0
0.037,1,0
0.054,3.1,0
0.071,3.1,0
0.088,4.1,0
0.105,5.1,0
0.121,6.1,0
0.138,6.1,0
0.155,6.1,0
0.189,6.1,0
0.439,7.2,0
0.462,7.2,0
0.658,7.2,0
0.666,7.2,0
0.675,8.2,0
0.689,8.2,0
0.712,9.2,-1
0.72,9.2,-1
0.737,10.2,-1
0.754,10.2,-1
0.778,11.2,-1
0.804,11.2,-2
0.826,11.2,-2
0.837,11.2,-2
0.853,11.2,-2
0.87,12.3,-2
0.888,12.3,-2
0.904,12.3,-2
0.923,12.3,-3.1
0.938,12.3,-3.1
0.954,13.3,-3.1
0.973,13.3,-3.1
0.989,13.3,-3.1
1.01,13.3,-3.1
1.075,13.3,-3.1
1.547,13.3,-3.1
1.561,14.3,-3.1
1.593,14.3,-3.1
1.626,14.3,-3.1
1.674,14.3,-4.1
2.391,14.3,-4.1
2.434,14.3,-4.1
2.466,14.3,-5.1
2.74,14.3,-5.1
2.772,14.3,-5.1
2.804,14.3,-5.1
2.817,14.3,-6.1
2.833,14.3,-6.1
2.849,14.3,-6.1
2.865,14.3,-6.1
2.881,13.3,-7.1
2.924,13.3,-7.1
