# type=idles viewport=1280x720
t,dx,dy
0.665,0,0
0.667,0,0
0.68,0,0
0.693,0,0
0.709,-2.1,0
0.726,-2.1,0
0.743,-3.1,0
0.759,-4.2,0
0.777,-5.2,0
0.792,-5.2,0
0.809,-6.3,0
0.826,-6.3,0
0.843,-6.3,1
0.86,-7.3,1
1.147,-7.3,0
1.155,-7.3,-1
1.162,-7.3,-3.1
1.176,-7.3,-6.3
1.193,-7.3,-18.9
1.209,-7.3,-39.8
1.227,-7.3,-65
1.244,-7.3,-84.9
1.261,-6.3,-113.2
1.277,-5.2,-121.6
1.294,-4.2,-125.8
1.309,-3.1,-133.1
1.326,-2.1,-134.2
1.343,-2.1,-135.2
1.362,-2.1,-135.2
1.375,-2.1,-135.2
1.434,-2.1,-135.2
1.45,-1,-136.2
1.463,-1,-136.2
1.476,-1,-136.2
1.493,-1,-138.3
1.509,0,-140.4
1.527,1,-143.6
1.542,3.1,-147.8
1.559,6.3,-153
1.576,11.5,-158.3
1.592,16.8,-163.5
1.61,23.1,-169.8
1.626,30.4,-175
1.644,37.8,-179.2
1.66,38.8,-180.3
1.677,43,-181.3
1.693,49.3,-183.4
1.709,51.4,-184.5
1.726,55.6,-185.5
1.742,57.7,-187.6
1.76,58.8,-187.6
2.029,59.8,-187.6
2.034,61.9,-185.5
2.045,65.1,-181.3
2.061,69.3,-175
2.077,75.6,-163.5
2.093,86,-142.5
2.109,90.2,-131
2.127,93.4,-121.6
2.143,94.4,-114.2
2.16,96.5,-105.9
2.176,97.6,-99.6
2.193,98.6,-95.4
2.209,99.7,-91.2
2.226,99.7,-89.1
2.243,100.7,-88
2.261,100.7,-88
2.277,100.7,-87
2.397,100.7,-88
2.402,100.7,-88
2.41,100.7,-88
2.427,100.7,-89.1
2.444,101.8,-90.1
2.461,103.9,-91.2
2.478,108.1,-91.2
2.494,113.3,-91.2
2.509,116.5,-91.2
2.526,119.6,-90.1
2.543,121.7,-90.1
2.559,122.8,-89.1
2.576,123.8,-89.1
2.593,123.8,-88
2.609,123.8,-87
2.627,123.8,-87
2.643,121.7,-85.9
2.66,119.6,-83.8
2.676,116.5,-82.8
2.693,114.4,-80.7
2.709,109.1,-77.6
2.726,104.9,-74.4
2.743,99.7,-69.2
2.762,94.4,-62.9
2.776,89.2,-55.5
2.794,85,-50.3
2.81,80.8,-46.1
2.826,77.7,-40.9
2.843,74.5,-36.7
2.861,73.5,-34.6
2.876,72.4,-32.5
2.893,72.4,-32.5
2.909,72.4,-33.5
2.927,73.5,-39.8
2.943,77.7,-48.2
2.959,82.9,-58.7
2.977,89.2,-68.1
2.993,92.3,-72.3
