# type=idles viewport=1280x720
t,dx,dy
0.273,0,0
0.29,0,0
0.306,0,0
0.322,0,-1
0.338,0,-1
0.355,0,-2
0.371,0,-2
0.387,0,-2
0.404,0,-2
0.657,0,-2
0.661,-1,-3.1
0.673,-1,-3.1
0.688,-2,-4.1
0.705,-4.1,-4.1
0.721,-4.1,-5.1
0.738,-4.1,-5.1
0.754,-5.1,-5.1
1.107,-5.1,-5.1
1.108,-5.1,-5.1
1.122,-6.1,-4.1
1.138,-7.2,-4.1
1.154,-8.2,-3.1
1.171,-10.2,-2
1.187,-12.3,-1
1.204,-14.3,0
1.221,-16.3,1
1.239,-18.4,2
1.255,-18.4,2
1.271,-19.4,2
1.288,-19.4,2
2.058,-19.4,2
2.059,-18.4,2
2.071,-18.4,2
2.089,-17.4,2
2.105,-16.3,2
2.12,-15.3,2
2.137,-14.3,2
2.154,-14.3,2
2.171,-13.3,2
2.188,-13.3,2
2.764,-13.3,2
2.779,-13.3,2
2.975,-12.3,2
2.979,-12.3,2
2.991,-12.3,2
