# type=idles viewport=1280x720
t,dx,dy
0.178,0,0
0.212,0,-1
0.243,1,-1
0.28,1,-1
0.303,1,-1
0.311,1,-1
0.345,1,-1
0.361,2,-1
0.377,2,-1
0.396,2,-1
0.412,2,-1
0.43,3.1,-2
0.444,3.1,-2
0.46,4.1,-2
0.477,4.1,-2
0.493,5.1,-3.1
0.51,6.1,-3.1
0.527,7.2,-3.1
0.543,7.2,-3.1
0.56,7.2,-3.1
0.576,8.2,-4.1
0.626,8.2,-4.1
0.872,7.2,-4.1
0.888,7.2,-4.1
0.896,7.2,-3.1
0.919,7.2,-3.1
0.928,7.2,-3.1
0.944,6.1,-3.1
0.961,6.1,-3.1
0.978,6.1,-2
0.994,6.1,-2
1.01,5.1,-2
1.039,5.1,-2
1.071,5.1,-2
1.367,5.1,-2
1.383,6.1,-2
1.778,6.1,-2
1.831,6.1,-2
