# type=idles viewport=1280x720
t,dx,dy
0.005,0,0
0.029,0,0
0.064,1,0
0.093,1,0
0.133,1,0
0.165,1,0
0.206,1,0
0.222,1,0
0.246,2,0
0.27,2,-1
0.286,2,-1
0.311,2,-1
0.33,3.1,-1
0.35,3.1,-1
0.365,3.1,-1
0.39,3.1,-1
0.421,3.1,-1
0.429,3.1,-1
0.454,4.1,-1
0.486,4.1,-1
0.561,4.1,-2
0.584,4.1,-2
0.766,4.1,-2
0.82,5.1,-2
1.405,5.1,-1
1.549,5.1,-1
1.577,5.1,-1
1.62,4.1,-1
1.636,4.1,-1
1.652,4.1,-1
1.679,4.1,-1
1.696,3.1,-1
1.728,3.1,-1
1.764,3.1,-1
1.788,3.1,-1
1.813,2,-1
1.853,2,-1
1.912,2,-1
1.948,2,-1
2.013,2,-1
2.032,1,-1
2.117,1,-1
2.213,1,-2
2.312,1,-2
2.516,2,-2
2.543,2,-2
2.579,2,-2
2.628,2,-2
2.661,3.1,-2
2.732,3.1,-2
