# type=idles viewport=1280x720
t,dx,dy
0.015,0,0
0.248,0,0
0.263,1,0
0.275,1,0
0.307,1,0
0.309,2,1
0.326,2,1
0.342,2,1
0.359,2,1
0.615,2,1
0.655,2,2
0.703,2,2
0.729,3.1,2
0.735,3.1,2
0.75,3.1,2
0.762,3.1,3.1
0.777,3.1,3.1
0.793,3.1,3.1
0.809,3.1,3.1
0.825,4.1,3.1
1.167,4.1,3.1
1.19,4.1,3.1
1.198,4.1,3.1
1.216,4.1,3.1
1.227,4.1,3.1
1.243,5.1,3.1
1.26,5.1,3.1
1.277,5.1,3.1
1.334,5.1,2
1.409,5.1,2
1.622,5.1,2
1.638,5.1,2
1.653,4.1,2
1.67,4.1,2
1.702,4.1,2
2.046,4.1,1
2.421,4.1,1
2.477,4.1,1
2.501,4.1,1
2.517,4.1,1
2.546,4.1,0
2.612,4.1,0
2.637,3.1,0
2.653,3.1,0
2.684,3.1,0
2.696,3.1,0
2.71,3.1,-1
2.776,3.1,-1
2.836,3.1,-1
2.843,3.1,-1
2.893,3.1,-1
2.958,3.1,-2
2.988,3.1,-2
3.028,3.1,-2
3.291,3.1,-2
3.315,3.1,-2
3.325,3.1,-1
3.346,4.1,-1
3.358,4.1,-1
3.375,4.1,-1
3.392,4.1,0
3.427,5.1,0
3.434,5.1,0
