# type=idles viewport=1280x720
t,dx,dy
0.007,0,0
0.024,0,0
0.04,0,0
0.058,0,0
0.075,0,-1
0.09,0,-1
0.146,0,-1
0.394,0,-1
0.409,0,-1
0.434,0,-1
0.454,0,-1
0.466,-1,-1
0.482,-1,0
0.524,-1,0
0.556,-1,0
0.561,-1,0
0.593,-1,0
0.625,-1,1
0.675,-1,1
0.692,-1,1
0.713,-2,1
0.726,-2,1
0.741,-2,1
0.758,-2,1
0.774,-3.1,2
0.791,-3.1,2
0.806,-3.1,2
0.826,-3.1,2
0.841,-3.1,2
0.858,-4.1,2
0.874,-4.1,2
0.891,-4.1,2
0.907,-5.1,2
0.924,-5.1,2
1.481,-5.1,2
1.496,-5.1,2
1.512,-5.1,1
1.537,-5.1,1
1.568,-5.1,1
1.6,-5.1,1
1.608,-5.1,1
1.649,-5.1,0
1.976,-5.1,0
2.008,-5.1,0
2.026,-5.1,-1
2.041,-5.1,-1
2.066,-5.1,-1
2.107,-5.1,-1
2.167,-5.1,-1
2.191,-5.1,-1
2.257,-6.1,-1
2.323,-6.1,-1
2.359,-6.1,-1
2.417,-6.1,-1
2.664,-7.2,-1
2.809,-7.2,-1
3.078,-8.2,-1
3.15,-8.2,-1
3.426,-8.2,-1
3.447,-8.2,-1
3.462,-9.2,-1
3.526,-9.2,-1
