# type=idles viewport=1280x720
t,dx,dy
0.356,0,0
0.359,0,1
0.376,0,2.1
0.387,0,3.1
0.401,0,4.2
0.418,0,5.2
0.435,-1,5.2
0.452,-1,6.3
0.479,-1,6.3
0.559,-1,6.3
0.755,-1,6.3
0.759,0,6.3
0.769,1,6.3
0.785,1,6.3
0.801,5.2,7.3
0.818,7.3,7.3
0.834,9.4,8.4
0.851,11.5,8.4
0.869,12.6,8.4
0.885,13.6,9.4
0.901,14.7,9.4
0.92,14.7,9.4
0.935,14.7,9.4
1.139,14.7,9.4
1.143,14.7,9.4
1.154,14.7,10.5
1.169,14.7,11.5
1.185,14.7,11.5
1.201,14.7,13.6
1.218,14.7,13.6
1.235,14.7,14.7
1.943,13.6,14.7
2.123,13.6,14.7
2.126,13.6,14.7
2.137,12.6,14.7
2.153,12.6,14.7
2.17,12.6,15.7
2.186,11.5,15.7
2.202,11.5,15.7
2.218,11.5,15.7
2.391,11.5,15.7
2.431,10.5,15.7
2.91,10.5,15.7
2.958,10.5,15.7
