# type=idles viewport=1280x720
t,dx,dy
0.514,0,0
0.516,1,0
0.528,3.1,0
0.545,6.3,0
0.559,14.7,0
0.576,21,0
0.593,27.3,0
0.609,34.6,0
0.625,43,0
0.642,52.5,0
0.659,63,-1
0.677,74.5,-2.1
0.692,86,-5.2
0.71,100.7,-9.4
0.726,102.8,-10.5
0.744,110.2,-12.6
0.759,116.5,-13.6
0.776,119.6,-14.7
0.792,120.7,-14.7
0.809,121.7,-14.7
0.826,122.8,-15.7
0.843,122.8,-15.7
0.859,122.8,-15.7
0.876,122.8,-16.8
1.294,123.8,-16.8
1.301,125.9,-16.8
1.311,131.2,-16.8
1.329,135.4,-15.7
1.345,153.2,-14.7
1.36,175.2,-13.6
1.376,189.9,-13.6
1.393,202.5,-13.6
1.411,210.9,-13.6
1.426,217.2,-13.6
1.443,222.5,-13.6
1.461,225.6,-13.6
1.478,227.7,-14.7
1.493,228.8,-15.7
1.51,228.8,-16.8
