# type=idles viewport=1280x720
t,dx,dy
0.037,0,0
0.053,0,0
0.061,0,0
0.078,0,0
0.094,1,0
0.11,1,0
0.127,2,1
0.142,3.1,1
0.158,3.1,1
0.175,3.1,1
0.196,4.1,1
0.344,4.1,1
0.35,4.1,1
0.367,5.1,1
0.377,5.1,1
0.405,5.1,1
0.408,6.1,1
0.425,6.1,1
0.441,7.2,1
0.458,7.2,1
0.475,7.2,1
0.492,8.2,1
0.508,8.2,2
0.526,8.2,2
0.542,9.2,2
0.558,9.2,2
0.575,10.2,3.1
0.591,10.2,3.1
0.609,11.2,3.1
0.626,11.2,4.1
0.641,11.2,4.1
0.66,12.3,4.1
0.675,12.3,4.1
0.692,12.3,4.1
0.716,12.3,4.1
0.734,13.3,4.1
0.774,13.3,5.1
0.795,13.3,5.1
1.06,13.3,5.1
1.068,13.3,5.1
1.084,13.3,5.1
1.1,14.3,5.1
1.11,14.3,5.1
1.126,14.3,5.1
1.143,14.3,5.1
1.158,15.3,5.1
1.176,15.3,5.1
1.204,15.3,5.1
1.403,15.3,4.1
1.603,15.3,4.1
1.611,16.3,4.1
1.633,16.3,4.1
1.651,16.3,4.1
1.667,16.3,3.1
1.683,17.4,3.1
1.715,17.4,3.1
