# type=idles viewport=1280x720
t,dx,dy
0.012,0,0
0.03,-1,1
0.045,-2,1
0.231,-1,1
0.236,-1,1
0.246,0,1
0.262,0,1
0.282,1,0
0.298,4.1,-1
0.312,5.1,-2
0.328,6.1,-2
0.347,7.2,-3.1
0.363,9.2,-3.1
0.378,9.2,-3.1
0.395,10.2,-3.1
0.412,10.2,-4.1
0.429,11.2,-4.1
0.445,11.2,-4.1
0.461,12.3,-4.1
0.478,12.3,-4.1
0.755,12.3,-4.1
0.763,13.3,-4.1
0.779,13.3,-4.1
0.795,14.3,-4.1
0.811,16.3,-4.1
0.83,19.4,-4.1
0.849,22.5,-4.1
0.865,26.6,-4.1
0.879,32.7,-5.1
0.895,36.8,-6.1
0.913,39.8,-7.1
0.929,41.9,-8.2
0.946,42.9,-9.2
1.49,43.9,-9.2
1.498,46,-9.2
1.511,48,-8.2
1.529,51.1,-7.1
1.544,55.2,-5.1
1.561,58.2,-5.1
1.578,61.3,-4.1
1.595,61.3,-4.1
1.612,62.3,-3.1
1.628,62.3,-3.1
1.645,62.3,-2
1.661,62.3,-1
1.677,62.3,-1
1.695,61.3,0
1.711,60.3,1
1.73,59.2,1
1.744,59.2,2
1.761,58.2,2
1.78,58.2,2
1.795,57.2,2
1.811,57.2,2
1.829,56.2,2
1.845,54.1,2
1.861,52.1,2
1.88,50.1,2
1.894,49,2
1.911,47,1
1.928,47,0
1.945,46,0
1.962,46,0
2.262,46,0
2.298,46,0
2.314,46,0
2.328,46,1
2.346,46,1
2.362,46,2
2.38,46,4.1
2.395,46,5.1
2.412,44.9,6.1
2.428,44.9,7.1
2.444,43.9,7.1
2.462,43.9,8.2
