# type=idles viewport=1280x720
t,dx,dy
0.033,0,0
0.059,0,0
0.064,0,0
0.077,0,0
0.093,-1,0
0.111,-1,1
0.127,-2,1
0.144,-2,1
0.161,-2,1
0.178,-3.1,1
0.216,-3.1,1
0.281,-3.1,1
0.288,-3.1,1
0.378,-3.1,2
0.433,-4.1,2
0.445,-4.1,2
0.464,-4.1,2
0.491,-4.1,2
0.521,-4.1,2
0.552,-4.1,2
0.579,-5.1,2
0.627,-5.1,3.1
0.68,-5.1,3.1
0.744,-5.1,3.1
0.832,-6.1,3.1
0.889,-6.1,3.1
0.898,-6.1,3.1
0.935,-6.1,3.1
1.103,-6.1,3.1
1.114,-6.1,2
1.131,-6.1,2
1.145,-6.1,2
1.163,-6.1,2
1.184,-6.1,2
1.212,-6.1,1
1.481,-6.1,1
1.53,-6.1,1
1.546,-6.1,1
1.579,-6.1,0
1.615,-6.1,0
1.687,-6.1,0
1.879,-6.1,0
1.903,-6.1,-1
1.929,-6.1,-1
1.967,-6.1,-1
1.999,-6.1,-1
2.047,-6.1,-2
2.318,-6.1,-2
2.344,-6.1,-2
2.37,-6.1,-2
2.382,-7.2,-2
2.41,-7.2,-2
2.422,-7.2,-2
2.438,-7.2,-2
2.446,-8.2,-2
2.47,-8.2,-2
2.494,-8.2,-2
2.544,-8.2,-2
2.639,-9.2,-2
2.711,-9.2,-2
2.761,-9.2,-2
2.814,-9.2,-2
2.863,-10.2,-2
2.879,-10.2,-2
2.902,-10.2,-2
2.918,-10.2,-2
2.927,-11.2,-2
2.95,-11.2,-2
2.962,-11.2,-2
2.977,-11.2,-2
2.994,-11.2,-3.1
3.011,-12.3,-3.1
3.03,-12.3,-3.1
3.054,-12.3,-3.1
3.062,-12.3,-3.1
3.102,-12.3,-3.1
3.127,-12.3,-3.1
3.166,-12.3,-3.1
3.262,-12.3,-3.1
3.621,-12.3,-4.1
3.645,-12.3,-4.1
3.653,-12.3,-4.1
3.663,-12.3,-4.1
3.676,-12.3,-5.1
3.694,-12.3,-5.1
3.709,-12.3,-6.1
3.726,-12.3,-6.1
