# type=idles viewport=1280x720
t,dx,dy
0.259,0,0
0.265,0,0
0.282,0,0
0.297,0,0
0.31,1,0
0.325,1,0
0.342,1,0
0.362,1,0
0.444,1,0
0.477,2,0
0.995,2,1
1.001,2,1
1.017,2,1
1.033,2,1
1.045,2,2
1.061,2,2
1.077,2,2
1.094,2,2
1.111,1,3.1
1.128,1,3.1
1.148,1,3.1
1.195,1,3.1
1.233,0,3.1
1.297,0,3.1
1.344,0,3.1
1.368,0,3.1
1.392,0,3.1
1.416,0,3.1
1.455,0,4.1
1.464,-1,4.1
1.504,-1,4.1
1.536,-1,4.1
1.844,-1,4.1
1.861,-1,3.1
1.872,-1,3.1
1.896,-1,3.1
1.928,-1,3.1
2.001,-1,3.1
2.073,-1,3.1
2.08,-1,2
2.12,-1,2
2.136,0,2
2.162,0,2
2.201,0,2
2.234,0,1
2.246,0,1
2.264,0,1
2.296,0,1
2.336,0,1
2.345,0,1
2.38,0,0
2.464,0,0
