# type=idles viewport=1280x720
t,dx,dy
0.006,0,0
0.026,1,-1
0.038,3.1,-1
0.055,4.1,-1
0.073,5.1,-1
0.088,6.1,-1
0.105,7.2,-1
0.122,8.2,-1
0.14,8.2,-1
0.157,9.2,-1
0.172,9.2,-1
0.193,9.2,-2
0.205,9.2,-2
0.222,9.2,-6.1
0.238,9.2,-10.2
0.255,9.2,-17.4
0.272,9.2,-21.4
0.29,9.2,-26.6
0.305,9.2,-32.7
0.322,8.2,-34.7
0.34,8.2,-36.8
0.355,7.2,-38.8
0.372,7.2,-41.9
0.388,7.2,-42.9
0.406,6.1,-43.9
0.422,6.1,-44.9
0.438,5.1,-46
0.457,5.1,-47
0.472,4.1,-49
0.489,3.1,-51.1
0.505,2,-53.1
0.523,2,-53.1
0.54,1,-55.1
0.556,0,-55.1
0.572,-2,-58.2
0.588,-4.1,-59.2
0.605,-6.1,-60.3
0.623,-8.2,-61.3
0.638,-10.2,-62.3
0.655,-11.2,-63.3
0.672,-12.3,-63.3
0.688,-12.3,-63.3
0.708,-12.3,-63.3
0.724,-12.3,-63.3
1.026,-13.3,-63.3
1.052,-13.3,-63.3
1.057,-13.3,-63.3
1.075,-14.3,-64.3
1.09,-14.3,-64.3
1.106,-14.3,-64.3
1.123,-14.3,-64.3
1.144,-15.3,-64.3
1.168,-15.3,-63.3
1.176,-15.3,-63.3
1.189,-15.3,-63.3
1.205,-15.3,-62.3
1.222,-15.3,-61.3
1.239,-15.3,-60.3
1.255,-15.3,-59.2
1.272,-15.3,-58.2
1.289,-15.3,-57.2
1.305,-15.3,-56.2
1.322,-15.3,-56.2
1.339,-15.3,-55.1
1.355,-15.3,-55.1
1.373,-14.3,-55.1
2.48,-15.3,-55.1
2.569,-15.3,-55.1
2.584,-15.3,-55.1
2.592,-15.3,-55.1
2.622,-16.3,-55.1
2.63,-16.3,-55.1
2.638,-16.3,-55.1
2.655,-17.4,-55.1
2.672,-17.4,-55.1
2.69,-17.4,-55.1
2.705,-17.4,-55.1
2.723,-18.4,-55.1
2.995,-18.4,-55.1
3.04,-18.4,-55.1
3.064,-18.4,-55.1
