# type=slide_drags viewport=1200x887 start=473,499 end=731,499 mousedown_t=0.977
t,rx,ry
0.000,0.6262,-0.6465
0.016,0.5709,-0.6188
0.032,0.5106,-0.5711
0.048,0.4437,-0.4958
0.064,0.3037,-0.3326
0.080,0.1621,-0.1595
0.104,-0.0090,0.0194
0.120,-0.0900,0.0869
0.136,-0.1709,0.1455
0.152,-0.2274,0.1783
0.168,-0.2513,0.1887
0.184,-0.2708,0.1999
0.200,-0.2797,0.2050
0.216,-0.2831,0.2094
0.232,-0.2831,0.2126
0.248,-0.2831,0.2146
0.291,-0.2407,0.2189
0.304,-0.2151,0.2189
0.320,-0.1843,0.2136
0.336,-0.1498,0.1982
0.352,-0.1164,0.1745
0.368,-0.0840,0.1441
0.384,-0.0549,0.1066
0.400,-0.0293,0.0618
0.416,-0.0121,0.0148
0.431,-0.0049,-0.0135
0.448,-0.0014,-0.0416
0.464,-0.0000,-0.0559
0.504,-0.0010,-0.0677
0.520,-0.0055,-0.0688
0.536,-0.0099,-0.0688
0.552,-0.0144,-0.0688
0.568,-0.0203,-0.0688
0.584,-0.0247,-0.0688
0.600,-0.0279,-0.0667
0.616,-0.0300,-0.0657
0.631,-0.0310,-0.0637
0.647,-0.0322,-0.0591
0.663,-0.0322,-0.0467
0.688,-0.0308,-0.0188
0.704,-0.0262,-0.0003
0.719,-0.0190,0.0140
0.735,-0.0144,0.0198
0.751,-0.0100,0.0231
0.767,-0.0068,0.0231
0.783,-0.0024,0.0231
0.799,-0.0004,0.0221
0.816,0.0028,0.0189
0.831,0.0061,0.0156
0.847,0.0082,0.0124
0.863,0.0114,0.0091
0.887,0.0144,0.0071
0.903,0.0153,0.0062
0.977,0.0153,0.0062
1.143,0.0157,0.0062
1.159,0.0284,0.0062
1.175,0.0759,0.0062
1.191,0.1639,0.0062
1.208,0.2831,0.0062
1.225,0.4103,0.0062
1.241,0.5240,0.0062
1.258,0.6143,0.0062
1.275,0.6898,0.0062
1.291,0.7528,0.0062
1.308,0.7952,0.0057
1.325,0.8247,0.0043
1.346,0.8444,0.0024
1.358,0.8567,0.0004
1.375,0.8664,-0.0014
1.392,0.8755,-0.0029
1.408,0.8849,-0.0049
1.425,0.8963,-0.0070
1.442,0.9117,-0.0094
1.458,0.9313,-0.0126
1.475,0.9550,-0.0160
1.491,0.9854,-0.0197
1.508,1.0218,-0.0227
1.575,1.1503,-0.0302
1.625,1.2038,-0.0326
1.647,1.2175,-0.0332
1.659,1.2300,-0.0332
1.675,1.2408,-0.0332
1.691,1.2492,-0.0332
1.708,1.2561,-0.0332
1.726,1.2618,-0.0332
1.742,1.2618,-0.0332
1.742,1.2627,-0.0332
