# type=slide_drags viewport=1280x720 start=506,414 end=769,413 mousedown_t=1.286
t,rx,ry
0,0.1862,0.0465
0.018,0.1629,0.0388
0.043,0.1435,0.031
0.049,0.1397,0.031
0.069,0.1358,0.0271
0.082,0.1358,0.0271
0.1,0.1358,0.0271
0.125,0.1358,0.0271
0.134,0.1319,0.0271
0.149,0.1319,0.0233
0.167,0.128,0.0194
0.183,0.1203,0.0155
0.2,0.1125,0.0078
0.216,0.097,0
0.232,0.0853,-0.0039
0.249,0.0776,-0.0078
0.267,0.0698,-0.0078
0.283,0.0698,-0.0078
0.299,0.0659,-0.0078
0.374,0.0659,-0.0078
0.402,0.0659,-0.0078
0.419,0.0659,-0.0078
0.433,0.0621,-0.0078
0.451,0.0621,-0.0078
0.467,0.0582,-0.0078
0.484,0.0543,-0.0078
0.499,0.0466,-0.0078
0.516,0.0427,-0.0078
0.534,0.0388,-0.0078
0.55,0.0349,-0.0039
0.567,0.031,-0.0039
0.584,0.031,-0.0039
0.601,0.0272,-0.0039
0.616,0.0272,-0.0039
0.632,0.0233,-0.0039
0.649,0.0194,-0.0039
0.667,0.0194,-0.0039
0.683,0.0155,-0.0039
0.701,0.0155,-0.0039
0.886,0.0155,-0.0039
0.894,0.0155,-0.0039
0.91,0.0116,-0.0039
0.919,0.0116,-0.0039
0.94,0.0116,-0.0039
0.952,0.0116,-0.0039
0.967,0.0078,-0.0039
0.984,0.0078,-0.0039
1.001,0.0078,-0.0039
1.016,0.0039,-0.0039
1.033,0.0039,-0.0039
1.049,0,-0.0039
1.067,0,-0.0039
1.082,0,0
1.102,0,0
1.117,0,0
1.286,0,0
1.605,0,0
1.621,0,0
1.634,0.0039,0
1.651,0.0039,0
1.667,0.0078,0
1.684,0.0116,0
1.701,0.0116,0
1.719,0.0155,0
1.735,0.0194,0
1.751,0.0233,0
1.768,0.0272,0
1.786,0.031,0
1.801,0.0349,0
1.818,0.0388,0
1.834,0.0388,0
1.851,0.0427,0
1.867,0.0427,0
2.068,0.0466,0
