# type=slide_drags viewport=1280x720 start=508,414 end=769,413 mousedown_t=1.735
t,rx,ry
0,0.1329,-0.1446
0.017,0.129,-0.1446
0.032,0.1251,-0.1407
0.05,0.1212,-0.1407
0.066,0.1173,-0.1407
0.082,0.1134,-0.1407
0.099,0.1095,-0.1368
0.116,0.1095,-0.1368
0.133,0.1095,-0.1329
0.149,0.1017,-0.129
0.165,0.0977,-0.1212
0.182,0.0938,-0.1133
0.198,0.0899,-0.1055
0.215,0.086,-0.0977
0.234,0.0821,-0.0899
0.25,0.0782,-0.0821
0.266,0.0782,-0.0782
0.282,0.0743,-0.0782
0.3,0.0743,-0.0743
0.316,0.0743,-0.0743
0.334,0.0743,-0.0704
0.35,0.0743,-0.0625
0.366,0.0743,-0.0547
0.382,0.0704,-0.0508
0.399,0.0704,-0.0469
0.416,0.0704,-0.043
0.434,0.0704,-0.043
0.45,0.0704,-0.043
0.466,0.0665,-0.043
0.484,0.0665,-0.0391
0.5,0.0665,-0.0391
0.516,0.0626,-0.0352
0.532,0.0586,-0.0313
0.55,0.0547,-0.0274
0.565,0.0547,-0.0274
0.582,0.0508,-0.0235
0.599,0.0469,-0.0235
0.615,0.0469,-0.0195
0.632,0.043,-0.0195
0.649,0.0352,-0.0156
0.665,0.0313,-0.0117
0.682,0.0274,-0.0117
0.699,0.0235,-0.0078
0.716,0.0195,-0.0078
0.732,0.0156,-0.0078
0.749,0.0117,-0.0039
0.765,0.0117,-0.0039
0.781,0.0117,-0.0039
0.799,0.0117,0
0.818,0.0117,0
0.832,0.0117,0.0039
0.849,0.0117,0.0117
0.865,0.0117,0.0195
0.882,0.0078,0.0274
0.899,0.0078,0.0274
0.916,0.0078,0.0313
0.933,0.0078,0.0313
1.089,0.0039,0.0313
1.103,0.0039,0.0313
1.115,0.0039,0.0274
1.132,0.0039,0.0274
1.158,0,0.0235
1.165,0,0.0235
1.181,0,0.0235
1.199,0,0.0195
1.216,-0.0039,0.0195
1.232,-0.0039,0.0195
1.249,-0.0039,0.0195
1.266,-0.0039,0.0156
1.283,-0.0078,0.0156
1.299,-0.0078,0.0117
1.315,-0.0078,0.0117
1.336,-0.0078,0.0117
1.402,-0.0078,0.0117
1.451,-0.0078,0.0078
1.47,-0.0078,0.0078
1.483,-0.0078,0.0078
1.501,-0.0078,0.0039
1.516,-0.0078,0.0039
1.533,-0.0078,0.0039
1.561,-0.0078,0
1.625,-0.0078,0
1.641,-0.0039,0
1.649,-0.0039,0
1.666,-0.0039,0
1.685,-0.0039,0
1.699,-0.0039,0
1.716,0,0
1.735,0,0
1.751,0,0
1.984,0,0
2.002,0,0
2.016,0.0039,0
2.035,0.0039,0
2.058,0.0078,0
2.068,0.0078,0
2.217,0.0117,0
2.236,0.0117,0
2.25,0.0156,0
2.275,0.0235,0
2.285,0.0313,0
2.301,0.0391,0
2.316,0.043,0
2.333,0.0469,0
2.35,0.0469,0
2.5,0.0469,0
2.517,0.0508,0
2.533,0.0547,0
2.556,0.0626,0
2.568,0.0704,0
2.584,0.0782,0
2.6,0.086,0
2.616,0.0938,0
2.635,0.0977,0
2.652,0.1056,0
2.668,0.1095,0
2.684,0.1173,0
2.7,0.1212,0
2.717,0.129,-0.0039
2.734,0.1368,-0.0039
2.75,0.1447,-0.0039
2.767,0.1525,-0.0039
2.784,0.1603,-0.0078
2.802,0.1681,-0.0078
2.82,0.1759,-0.0078
2.833,0.1798,-0.0078
2.851,0.1877,-0.0078
2.867,0.1916,-0.0078
2.883,0.1955,-0.0078
2.9,0.1994,-0.0078
2.917,0.2033,-0.0117
2.934,0.2033,-0.0117
2.95,0.2033,-0.0117
2.983,0.2072,-0.0117
3.001,0.2072,-0.0117
3.017,0.2072,-0.0117
3.034,0.2111,-0.0117
3.051,0.2189,-0.0117
3.066,0.2268,-0.0117
3.083,0.2424,-0.0117
3.099,0.2619,-0.0156
3.117,0.2815,-0.0156
3.133,0.305,-0.0195
3.15,0.3245,-0.0235
3.166,0.344,-0.0235
3.183,0.3558,-0.0274
3.201,0.3636,-0.0274
3.216,0.3714,-0.0274
3.235,0.3753,-0.0313
3.25,0.3753,-0.0313
3.384,0.3792,-0.0313
3.405,0.3831,-0.0313
3.423,0.391,-0.0313
3.433,0.4066,-0.0313
3.45,0.4301,-0.0313
3.466,0.4574,-0.0313
3.483,0.4809,-0.0313
3.501,0.5083,-0.0313
3.517,0.5278,-0.0313
3.534,0.5434,-0.0313
3.551,0.5552,-0.0313
3.568,0.563,-0.0313
3.584,0.5669,-0.0313
3.602,0.5708,-0.0313
3.617,0.5747,-0.0313
3.668,0.5747,-0.0313
3.702,0.5747,-0.0274
3.717,0.5747,-0.0274
3.734,0.5786,-0.0274
3.752,0.5864,-0.0235
3.766,0.5982,-0.0235
3.786,0.6177,-0.0195
3.803,0.6412,-0.0156
3.818,0.6646,-0.0117
3.834,0.6881,-0.0078
3.852,0.7037,-0.0039
3.866,0.7194,-0.0039
3.883,0.7311,0
3.9,0.7389,0
3.918,0.7428,0
3.933,0.7467,0
4.067,0.7467,0
4.085,0.7467,0
4.101,0.7506,0
4.118,0.7585,0
4.134,0.7741,0.0039
4.152,0.7937,0.0039
4.168,0.8171,0.0078
4.185,0.8367,0.0078
4.201,0.8562,0.0117
4.217,0.8758,0.0117
4.233,0.8914,0.0117
4.251,0.9031,0.0117
4.268,0.907,0.0117
4.285,0.9109,0.0117
4.301,0.9109,0.0117
4.501,0.9109,0.0117
4.52,0.9149,0.0117
4.534,0.9188,0.0117
4.566,0.9305,0.0117
4.584,0.95,0.0117
4.6,0.9696,0.0117
4.618,0.9774,0.0117
4.635,0.9813,0.0117
4.652,0.9852,0.0117
4.884,0.9891,0.0117
